Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ADA,Volume_USDT,Tradecount
2022-12-27,Binance,ADAUSDT,0.2653,0.2665,0.2563,0.2603,59557924.7,15564607.25909,36071.0
2022-12-26,Binance,ADAUSDT,0.259,0.2657,0.2576,0.2652,61775474.3,16140480.49747,35406.0
2022-12-25,Binance,ADAUSDT,0.2591,0.2599,0.2546,0.2591,46627019.2,12008927.16992,28303.0
2022-12-24,Binance,ADAUSDT,0.2594,0.2604,0.2566,0.2592,32054310.5,8287131.30108,22102.0
2022-12-23,Binance,ADAUSDT,0.2567,0.264,0.2554,0.2594,74119327.5,19200654.61869,46556.0
2022-12-22,Binance,ADAUSDT,0.2534,0.2569,0.2465,0.2566,78100191.4,19714944.87172,46739.0
2022-12-21,Binance,ADAUSDT,0.2586,0.2593,0.2478,0.2534,93178931.7,23527156.52491,57581.0
2022-12-20,Binance,ADAUSDT,0.2529,0.2621,0.2512,0.2587,79578969.4,20468913.647,53843.0
2022-12-19,Binance,ADAUSDT,0.266,0.2694,0.2488,0.2529,109679881.16,28451460.05123,73700.0
2022-12-18,Binance,ADAUSDT,0.2672,0.2713,0.2627,0.2659,90386512.2,24138629.78028,55328.0
2022-12-17,Binance,ADAUSDT,0.2633,0.2678,0.2587,0.2672,164203460.7,43257420.03598,120298.0
2022-12-16,Binance,ADAUSDT,0.3003,0.3013,0.255,0.2632,218355848.5,61106298.135023,176444.0
2022-12-15,Binance,ADAUSDT,0.308,0.3086,0.2962,0.3003,88292967.3,26642862.92079,64079.0
2022-12-14,Binance,ADAUSDT,0.3142,0.3157,0.3053,0.3079,91418405.6,28377028.14808,74395.0
2022-12-13,Binance,ADAUSDT,0.3069,0.3187,0.2991,0.3142,125438617.5,38715909.18072,98882.0
2022-12-12,Binance,ADAUSDT,0.3073,0.3079,0.3004,0.3069,59718587.9,18189907.8813,51594.0
2022-12-11,Binance,ADAUSDT,0.3126,0.315,0.3051,0.3074,38521495.3,11960293.98154,35310.0
2022-12-10,Binance,ADAUSDT,0.3119,0.315,0.3106,0.3126,23073305.7,7211506.52281,23782.0
2022-12-09,Binance,ADAUSDT,0.3144,0.3166,0.3088,0.3118,50246553.9,15725182.9416,47471.0
2022-12-07,Binance,ADAUSDT,0.3183,0.3199,0.3067,0.3102,80392338.0,25000761.50357,68326.0
2022-12-06,Binance,ADAUSDT,0.3193,0.3211,0.3135,0.3183,54889434.1,17402842.34351,59086.0
2022-12-05,Binance,ADAUSDT,0.3222,0.329,0.3163,0.3193,68934870.6,22271877.70034,67193.0
2022-12-04,Binance,ADAUSDT,0.3196,0.3241,0.3181,0.3221,58073868.4,18651173.88099,54498.0
2022-12-03,Binance,ADAUSDT,0.3192,0.3265,0.3162,0.3196,88483029.8,28444511.3298,75652.0
2022-12-02,Binance,ADAUSDT,0.3144,0.32,0.3106,0.3191,62310109.4,19680755.30877,68405.0
2022-12-01,Binance,ADAUSDT,0.3186,0.32,0.3125,0.3145,69894876.1,22092331.38627,66918.0
2022-11-30,Binance,ADAUSDT,0.3093,0.3209,0.3084,0.3187,103696273.3,32673410.81614,98864.0
2022-11-29,Binance,ADAUSDT,0.3066,0.3128,0.3042,0.3092,63045432.9,19488880.01456,60043.0
2022-11-28,Binance,ADAUSDT,0.3126,0.3139,0.3,0.3066,118919688.1,36327273.86126,101855.0
2022-11-27,Binance,ADAUSDT,0.3138,0.3196,0.3114,0.3126,50910598.2,16108318.83643,53498.0
2022-11-26,Binance,ADAUSDT,0.3147,0.3228,0.3109,0.3138,66377188.0,21086337.98002,67347.0
2022-11-25,Binance,ADAUSDT,0.3162,0.3173,0.3073,0.3146,81668650.3,25530440.73286,67451.0
2022-11-24,Binance,ADAUSDT,0.3185,0.3213,0.3116,0.3163,77452139.6,24485083.30959,71156.0
2022-11-23,Binance,ADAUSDT,0.3126,0.3204,0.3093,0.3185,130172804.6,41071372.01836,114714.0
2022-11-22,Binance,ADAUSDT,0.3046,0.3169,0.2982,0.3126,119265124.3,36734548.01708,119038.0
2022-11-21,Binance,ADAUSDT,0.312,0.3133,0.2953,0.3046,162743368.09,49635263.832341,158825.0
2022-11-20,Binance,ADAUSDT,0.328,0.3312,0.31,0.312,87909126.7,28100507.99389,98580.0
2022-11-19,Binance,ADAUSDT,0.326,0.3322,0.3213,0.328,49281576.1,16051787.43165,61811.0
2022-11-18,Binance,ADAUSDT,0.3251,0.3325,0.3206,0.326,80892957.7,26509239.61893,79339.0
2022-11-17,Binance,ADAUSDT,0.332,0.3345,0.3186,0.325,75533614.5,24578226.32022,86816.0
2022-11-16,Binance,ADAUSDT,0.3373,0.3443,0.3237,0.332,102897046.5,34283678.93925,109019.0
2022-11-15,Binance,ADAUSDT,0.3322,0.3449,0.3292,0.3373,103952732.7,35089708.27033,117802.0
2022-11-14,Binance,ADAUSDT,0.3299,0.3419,0.3142,0.3323,180688535.9,59145613.82235,229414.0
2022-11-13,Binance,ADAUSDT,0.3397,0.3453,0.3251,0.3298,146747692.7,49125239.85673,169130.0
2022-11-12,Binance,ADAUSDT,0.3557,0.3569,0.3362,0.3397,118816381.9,40857174.32607,135497.0
2022-11-11,Binance,ADAUSDT,0.3688,0.3741,0.342,0.3556,191115121.1,68232522.26415,240769.0
2022-11-10,Binance,ADAUSDT,0.3174,0.3793,0.3119,0.3687,361917813.6,127859718.47873,490420.0
2022-11-09,Binance,ADAUSDT,0.3721,0.3766,0.31,0.3175,397998672.0,139680206.32556,478567.0
2022-11-08,Binance,ADAUSDT,0.404,0.4156,0.3463,0.3722,379698137.7,145571726.14185,442925.0
2022-11-07,Binance,ADAUSDT,0.4021,0.4161,0.3975,0.4041,138637231.9,56358873.26129,144459.0
2022-11-06,Binance,ADAUSDT,0.4263,0.431,0.4014,0.4021,112501696.2,47162331.74329,131491.0
2022-11-05,Binance,ADAUSDT,0.4216,0.4378,0.42,0.4264,165672546.7,70942285.9697,174930.0
2022-11-04,Binance,ADAUSDT,0.3894,0.4263,0.3881,0.4216,233382097.9,96007453.6155,216798.0
2022-11-03,Binance,ADAUSDT,0.3856,0.3992,0.3842,0.3895,90983702.8,35806496.7473,100272.0
2022-11-02,Binance,ADAUSDT,0.4012,0.4093,0.38,0.3856,168322996.7,66511031.36371,177619.0
2022-11-01,Binance,ADAUSDT,0.4055,0.4154,0.3985,0.4011,88819285.6,36132384.3077,94595.0
2022-10-31,Binance,ADAUSDT,0.4057,0.4163,0.3975,0.4055,122659161.8,49795540.26494,132386.0
2022-10-30,Binance,ADAUSDT,0.4201,0.4216,0.3981,0.4056,117123022.0,48145501.28376,128298.0
2022-10-29,Binance,ADAUSDT,0.4044,0.44,0.4008,0.42,200912371.4,84004083.80894,209662.0
2022-10-28,Binance,ADAUSDT,0.3884,0.4115,0.3777,0.4044,139227634.2,54818936.08623,137492.0
2022-10-27,Binance,ADAUSDT,0.403,0.4194,0.3861,0.3884,170796279.1,68868223.54686,174202.0
2022-10-26,Binance,ADAUSDT,0.4001,0.4122,0.3945,0.403,197702684.6,79697606.0452,193617.0
2022-10-25,Binance,ADAUSDT,0.3572,0.4173,0.3569,0.4,319472649.0,125674457.88564,300765.0
2022-10-24,Binance,ADAUSDT,0.3621,0.3652,0.3533,0.3573,92438606.2,33254095.74412,74681.0
2022-10-23,Binance,ADAUSDT,0.3513,0.3638,0.346,0.3621,85104357.9,30126571.95587,71166.0
2022-10-22,Binance,ADAUSDT,0.3492,0.3544,0.343,0.3513,71962552.0,25145674.28437,58566.0
2022-10-21,Binance,ADAUSDT,0.3402,0.3499,0.33,0.3492,127159385.38,43236898.514784,97703.0
2022-10-20,Binance,ADAUSDT,0.3496,0.3557,0.3364,0.3402,111680559.0,38777486.86413,89027.0
