Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_BTC,Volume_USDT,Tradecount
2022-12-27,Binance,BTCUSDT,16919.39,16972.83,16592.37,16706.36,173749.58616,2918379509.5314097,5047628.0
2022-12-26,Binance,BTCUSDT,16832.11,16944.52,16791.0,16919.39,124564.00656,2099037538.631794,3915571.0
2022-12-25,Binance,BTCUSDT,16835.73,16857.96,16721.0,16832.11,125441.07202,2108857873.1916704,3570157.0
2022-12-24,Binance,BTCUSDT,16778.52,16869.99,16776.62,16836.12,100224.29096,1686757294.9926343,3076985.0
2022-12-23,Binance,BTCUSDT,16821.9,16955.14,16731.13,16778.5,161612.00947,2720021933.978926,4561020.0
2022-12-22,Binance,BTCUSDT,16824.68,16868.52,16559.85,16821.43,176044.27235,2949612072.049303,4678640.0
2022-12-21,Binance,BTCUSDT,16896.15,16925.0,16723.0,16824.67,156810.96362,2638528723.736041,4375570.0
2022-12-20,Binance,BTCUSDT,16438.88,17061.27,16397.2,16895.56,248808.92324,4176995653.5457115,5945803.0
2022-12-19,Binance,BTCUSDT,16739.0,16815.99,16256.3,16438.88,179094.28305,2981094033.0138125,4681887.0
2022-12-18,Binance,BTCUSDT,16777.54,16863.26,16663.07,16738.21,112619.31646,1884666030.0992382,3369193.0
2022-12-17,Binance,BTCUSDT,16631.5,16796.82,16579.85,16776.52,144825.66684,2417851422.2131248,3905843.0
2022-12-16,Binance,BTCUSDT,17356.96,17531.73,16527.32,16632.12,253379.04116,4308933187.65654,5703001.0
2022-12-15,Binance,BTCUSDT,17804.01,17854.82,17275.51,17356.34,223701.96882,3923378677.833748,4789226.0
2022-12-14,Binance,BTCUSDT,17775.82,18387.95,17660.94,17803.15,266681.22209,4779915721.484458,5743730.0
2022-12-13,Binance,BTCUSDT,17208.93,18000.0,17080.14,17774.7,284462.9139,4983896040.378995,6242080.0
2022-12-12,Binance,BTCUSDT,17085.05,17241.89,16871.85,17209.83,226227.49694,3844787581.481925,4463916.0
2022-12-11,Binance,BTCUSDT,17127.49,17270.99,17071.0,17085.05,155286.47871,2663686104.0825615,3260722.0
2022-12-10,Binance,BTCUSDT,17128.56,17227.72,17092.0,17127.49,140573.97937,2411933258.8486,3032257.0
2022-12-09,Binance,BTCUSDT,17224.1,17360.0,17058.21,17128.56,238422.06465,4097973425.6973534,4282003.0
2022-12-08,Binance,BTCUSDT,16836.64,17299.0,16733.49,17224.1,236417.97804,4009427525.030412,4520282.0
2022-12-07,Binance,BTCUSDT,17088.96,17142.21,16678.83,16836.64,220657.41334,3723206794.305466,4284989.0
2022-12-06,Binance,BTCUSDT,16966.35,17107.01,16906.37,17088.96,218730.76883,3717926010.340586,4416864.0
2022-12-05,Binance,BTCUSDT,17106.65,17424.25,16867.0,16966.35,233703.29225,4015334796.603721,5138207.0
2022-12-04,Binance,BTCUSDT,16885.2,17202.84,16878.25,17105.7,178619.13387,3040020095.0511775,3948990.0
2022-12-03,Binance,BTCUSDT,17092.13,17188.98,16858.74,16885.2,154542.57306,2622504252.8664527,3308694.0
2022-12-02,Binance,BTCUSDT,16978.0,17105.73,16787.85,17092.74,202372.2062,3432385161.660257,4305515.0
2022-12-01,Binance,BTCUSDT,17165.53,17324.0,16855.01,16977.37,232818.18218,3972607179.868572,5097720.0
2022-11-30,Binance,BTCUSDT,16442.91,17249.0,16428.3,17163.64,303019.80719,5123595199.505286,6519330.0
2022-11-29,Binance,BTCUSDT,16212.18,16548.71,16100.0,16442.53,248106.25009,4072651066.999406,5206638.0
2022-11-28,Binance,BTCUSDT,16428.77,16487.04,15995.27,16212.91,252695.40367,4096398587.357313,5570407.0
2022-11-27,Binance,BTCUSDT,16457.61,16600.0,16401.0,16428.78,162025.47607,2679048565.5213013,3362221.0
2022-11-26,Binance,BTCUSDT,16521.35,16701.99,16385.0,16458.57,181804.81666,3011990387.647429,3817130.0
2022-11-25,Binance,BTCUSDT,16599.55,16666.0,16342.81,16522.14,182089.49533,3003553172.229472,4396465.0
2022-11-24,Binance,BTCUSDT,16603.11,16812.63,16458.05,16598.95,206565.92346,3431724405.654768,5031851.0
2022-11-23,Binance,BTCUSDT,16227.96,16706.0,16160.2,16603.11,264927.70408,4368042618.500261,6260616.0
2022-11-22,Binance,BTCUSDT,15781.29,16315.0,15616.63,16226.94,239548.06623,3823612603.8030014,6276097.0
2022-11-21,Binance,BTCUSDT,16279.5,16319.0,15476.0,15781.29,324096.997753,5188798317.004153,7440871.0
