Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_DOGE,Volume_USDT,Tradecount
2022-12-27,Binance,DOGEUSDT,0.07569,0.07616,0.07256,0.07372,706850540.0,52536508.22954,98102.0
2022-12-26,Binance,DOGEUSDT,0.07599,0.07664,0.07421,0.07568,648289873.0,48977931.09659,97223.0
2022-12-25,Binance,DOGEUSDT,0.07751,0.07765,0.0732,0.07598,1157436298.0,87372540.41167,167059.0
2022-12-24,Binance,DOGEUSDT,0.07721,0.07814,0.07661,0.07752,360306517.0,27873485.87155,61232.0
2022-12-23,Binance,DOGEUSDT,0.07687,0.07904,0.07616,0.07721,1022963248.0,79365850.01985,159935.0
2022-12-22,Binance,DOGEUSDT,0.07369,0.07783,0.07327,0.07685,1485392938.0,112352367.36552,222912.0
2022-12-21,Binance,DOGEUSDT,0.07483,0.07502,0.07131,0.07374,912809062.0,66736940.20681,130731.0
2022-12-20,Binance,DOGEUSDT,0.07133,0.07566,0.07101,0.07483,1127168971.0,83335354.79225,171660.0
2022-12-19,Binance,DOGEUSDT,0.07846,0.07951,0.06997,0.07133,1529698798.0,114327112.53758,238169.0
2022-12-18,Binance,DOGEUSDT,0.07918,0.08005,0.07759,0.07847,630900319.0,49712793.28122,114069.0
2022-12-17,Binance,DOGEUSDT,0.07569,0.07949,0.07552,0.07919,1337164978.0,103394811.7583,208157.0
2022-12-16,Binance,DOGEUSDT,0.08483,0.08682,0.07391,0.07569,1755203327.0,141133921.67248,314905.0
2022-12-15,Binance,DOGEUSDT,0.08825,0.0888,0.08402,0.08485,899180340.0,77891926.4349,157299.0
2022-12-14,Binance,DOGEUSDT,0.09105,0.09247,0.087,0.08824,1247687146.0,112504453.05171,227095.0
2022-12-13,Binance,DOGEUSDT,0.09029,0.09555,0.08691,0.09105,1698390609.0,154313618.19646,297723.0
2022-12-12,Binance,DOGEUSDT,0.09266,0.093,0.08471,0.09029,1940139927.0,171806896.99201,328609.0
2022-12-11,Binance,DOGEUSDT,0.09632,0.09715,0.09161,0.09266,627479341.0,59688866.9125,104937.0
2022-12-10,Binance,DOGEUSDT,0.0967,0.09743,0.09603,0.09632,429034730.0,41524436.31136,84147.0
2022-12-09,Binance,DOGEUSDT,0.09847,0.09945,0.09561,0.0967,956187442.0,93229229.67496,184953.0
2022-12-08,Binance,DOGEUSDT,0.09575,0.09918,0.09459,0.09847,1031574520.0,99729660.18012,182457.0
2022-12-07,Binance,DOGEUSDT,0.1002,0.1012,0.09269,0.09575,1404880230.0,135777757.3463,253839.0
2022-12-06,Binance,DOGEUSDT,0.10149,0.10276,0.09802,0.10019,1145270821.0,114900368.09738,211910.0
2022-12-05,Binance,DOGEUSDT,0.10405,0.11192,0.09922,0.10149,2106903673.0,221556898.96696,409620.0
2022-12-04,Binance,DOGEUSDT,0.0997,0.10575,0.09954,0.10406,1609965913.0,166423671.45887,322634.0
2022-12-03,Binance,DOGEUSDT,0.1021,0.10319,0.09808,0.0997,1356635083.0,136598012.62243,251447.0
2022-12-02,Binance,DOGEUSDT,0.10175,0.1036,0.09665,0.1021,1560905751.0,155121388.51512,320252.0
2022-12-01,Binance,DOGEUSDT,0.10676,0.10777,0.10025,0.10175,1927610473.0,199176726.01191,380551.0
2022-11-30,Binance,DOGEUSDT,0.10146,0.11,0.09937,0.10677,2791151929.0,294206244.43044,569550.0
2022-11-29,Binance,DOGEUSDT,0.09512,0.10524,0.0936,0.10146,2909789625.0,296193400.37081,588058.0
2022-11-28,Binance,DOGEUSDT,0.0987,0.09975,0.09056,0.09513,3340654160.0,317224474.07536,736970.0
2022-11-27,Binance,DOGEUSDT,0.08892,0.108,0.0888,0.09868,4273685671.0,430213172.47513,892938.0
2022-11-26,Binance,DOGEUSDT,0.0895,0.09558,0.08712,0.08893,1914481802.0,176393357.21232,429225.0
2022-11-25,Binance,DOGEUSDT,0.08146,0.09191,0.08053,0.0895,2497331251.0,217699207.77863,517261.0
2022-11-24,Binance,DOGEUSDT,0.08197,0.08434,0.08013,0.08146,739233520.0,60581917.57296,157812.0
2022-11-23,Binance,DOGEUSDT,0.07877,0.08354,0.07779,0.08197,1258795497.0,101965278.21921,254198.0
2022-11-22,Binance,DOGEUSDT,0.07466,0.0797,0.07307,0.07876,1448103545.0,110246289.20831,272164.0
2022-11-21,Binance,DOGEUSDT,0.07705,0.07738,0.07131,0.07466,1869844515.0,140422752.99603,339519.0
2022-11-20,Binance,DOGEUSDT,0.08455,0.08584,0.07633,0.07703,1168377788.0,95094290.32851,237688.0
2022-11-19,Binance,DOGEUSDT,0.08474,0.085,0.08303,0.08455,489697622.0,41155367.50098,104289.0
2022-11-18,Binance,DOGEUSDT,0.08467,0.08679,0.08363,0.08474,818587592.0,69702485.03383,167670.0
2022-11-17,Binance,DOGEUSDT,0.08549,0.08729,0.08233,0.08467,1133495442.0,96129101.7608,273758.0
2022-11-16,Binance,DOGEUSDT,0.08705,0.09121,0.08338,0.08548,1621532204.0,141081880.99413,389739.0
2022-11-15,Binance,DOGEUSDT,0.08594,0.0895,0.0847,0.08706,1318756115.0,114993655.98584,338530.0
2022-11-14,Binance,DOGEUSDT,0.08496,0.0915,0.07917,0.08595,2525683803.0,215477469.71021,607486.0
2022-11-13,Binance,DOGEUSDT,0.08814,0.09157,0.08269,0.08495,2193482956.0,191097547.85205,512861.0
2022-11-12,Binance,DOGEUSDT,0.08511,0.0952,0.07845,0.08815,3871215593.0,343823332.72233,847178.0
2022-11-11,Binance,DOGEUSDT,0.08976,0.09355,0.08001,0.08509,2597129664.0,221816642.55829,588140.0
2022-11-10,Binance,DOGEUSDT,0.07452,0.09461,0.07306,0.08978,4922943119.0,417803493.34345,999408.0
2022-11-09,Binance,DOGEUSDT,0.08827,0.09219,0.07053,0.0745,5778334733.0,480982925.20811,1239937.0
