Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_MATIC,Volume_USDT,Tradecount
2022-12-27,Binance,MATICUSDT,0.8154,0.8196,0.7973,0.8063,36924059.6,29914021.35104,67763.0
2022-12-26,Binance,MATICUSDT,0.7952,0.8168,0.7936,0.8154,27562698.7,22150194.31359,52842.0
2022-12-25,Binance,MATICUSDT,0.7956,0.7991,0.7853,0.795,21488619.9,17021958.3634,40931.0
2022-12-24,Binance,MATICUSDT,0.7992,0.8011,0.793,0.7958,16152930.6,12878966.91154,32994.0
2022-12-23,Binance,MATICUSDT,0.7966,0.8072,0.7906,0.7991,37371721.9,29879025.8964,70475.0
2022-12-22,Binance,MATICUSDT,0.7939,0.7976,0.7698,0.7966,47522907.2,37389458.4831,77652.0
2022-12-21,Binance,MATICUSDT,0.8012,0.8036,0.7857,0.7938,37724415.8,29938651.61776,65627.0
2022-12-20,Binance,MATICUSDT,0.7736,0.8088,0.7678,0.8012,75702229.4,60226813.83826,124900.0
2022-12-19,Binance,MATICUSDT,0.8127,0.8218,0.757,0.7737,82625037.1,65210500.02081,151058.0
2022-12-18,Binance,MATICUSDT,0.8156,0.8264,0.8026,0.8126,35962632.2,29278435.66487,66379.0
2022-12-17,Binance,MATICUSDT,0.7953,0.8188,0.7816,0.8156,59801878.4,48035418.84564,109204.0
2022-12-16,Binance,MATICUSDT,0.8787,0.891,0.7813,0.7953,101403720.7,84944651.10726,205947.0
2022-12-15,Binance,MATICUSDT,0.9029,0.9062,0.8721,0.8787,50583863.6,45010226.88415,98715.0
2022-12-14,Binance,MATICUSDT,0.9244,0.9383,0.8936,0.9026,72757384.5,66826851.56437,137799.0
2022-12-13,Binance,MATICUSDT,0.9107,0.9419,0.8789,0.9244,102623490.4,93676118.41158,196244.0
2022-12-12,Binance,MATICUSDT,0.8921,0.9128,0.87,0.9107,53203041.9,47274002.32296,107075.0
2022-12-11,Binance,MATICUSDT,0.9082,0.915,0.8888,0.8922,25372990.4,22939861.87814,56067.0
2022-12-10,Binance,MATICUSDT,0.9098,0.9167,0.9004,0.9082,28182643.9,25564028.28951,56963.0
2022-12-09,Binance,MATICUSDT,0.9276,0.9347,0.9081,0.9097,46265511.1,42629091.53356,94917.0
2022-12-07,Binance,MATICUSDT,0.9178,0.9199,0.8708,0.8973,73597178.6,65421084.6981,140761.0
2022-12-06,Binance,MATICUSDT,0.9117,0.9212,0.894,0.9176,50335479.4,45816001.18293,98233.0
2022-12-05,Binance,MATICUSDT,0.9211,0.9452,0.8998,0.9116,70042641.7,64542421.86749,142462.0
2022-12-04,Binance,MATICUSDT,0.9031,0.9233,0.9011,0.9212,32103473.7,29356707.64993,74187.0
2022-12-03,Binance,MATICUSDT,0.9485,0.9502,0.8997,0.9029,46360672.4,42822462.85727,103572.0
2022-12-02,Binance,MATICUSDT,0.9089,0.949,0.8977,0.9488,75021481.8,69007443.53004,160435.0
2022-12-01,Binance,MATICUSDT,0.933,0.9452,0.9057,0.9089,95499520.3,88168489.0016,234985.0
2022-11-30,Binance,MATICUSDT,0.8385,0.9444,0.837,0.933,105463856.6,93468625.63814,249032.0
2022-11-29,Binance,MATICUSDT,0.8212,0.8469,0.8133,0.8384,46886705.5,39158223.70357,116164.0
2022-11-28,Binance,MATICUSDT,0.8438,0.8491,0.8042,0.8213,67820385.3,55704715.11197,158116.0
2022-11-27,Binance,MATICUSDT,0.8464,0.8662,0.8406,0.844,40179484.6,34378233.13948,94835.0
2022-11-26,Binance,MATICUSDT,0.8442,0.8718,0.8385,0.8464,50094639.3,42924500.52187,125729.0
2022-11-25,Binance,MATICUSDT,0.8489,0.8496,0.8196,0.8442,51619516.3,43218765.79239,127325.0
2022-11-24,Binance,MATICUSDT,0.8614,0.8914,0.8421,0.8489,83489471.7,71933486.97543,185013.0
2022-11-23,Binance,MATICUSDT,0.8514,0.8732,0.8363,0.8614,110245680.9,94330703.9727,244970.0
2022-11-22,Binance,MATICUSDT,0.7961,0.8668,0.7784,0.8513,175588937.2,145661370.73012,376967.0
2022-11-21,Binance,MATICUSDT,0.8069,0.821,0.764,0.796,160051447.3,127219052.33744,362044.0
2022-11-20,Binance,MATICUSDT,0.8761,0.8817,0.799,0.8069,103107522.1,86193444.43571,228006.0
2022-11-19,Binance,MATICUSDT,0.8795,0.8834,0.8497,0.8762,48707549.2,42177338.56298,119656.0
2022-11-18,Binance,MATICUSDT,0.8743,0.8997,0.8682,0.8795,67124443.7,59437822.78536,166500.0
2022-11-17,Binance,MATICUSDT,0.8981,0.9123,0.8626,0.8743,101835293.2,89998051.19366,252240.0
2022-11-16,Binance,MATICUSDT,0.9418,0.9565,0.8788,0.8981,101978756.0,92817749.67376,293974.0
2022-11-15,Binance,MATICUSDT,0.9177,0.9735,0.9067,0.9417,138509381.4,130636205.43733,413893.0
2022-11-14,Binance,MATICUSDT,0.8894,0.9631,0.8318,0.9177,229867545.8,209006671.9448,681630.0
2022-11-13,Binance,MATICUSDT,0.9396,0.9686,0.8648,0.8894,123531551.9,112373833.89994,424702.0
2022-11-12,Binance,MATICUSDT,1.0645,1.068,0.9263,0.9396,168096609.6,163354807.87907,557169.0
2022-11-11,Binance,MATICUSDT,1.1245,1.1608,0.9663,1.0643,252229352.6,266262995.78373,773998.0
2022-11-10,Binance,MATICUSDT,0.8165,1.1621,0.8004,1.1245,439582528.4,441008190.0146,1270612.0
2022-11-09,Binance,MATICUSDT,1.0442,1.0708,0.7624,0.8165,380019927.5,344263814.56267,1127566.0
2022-11-08,Binance,MATICUSDT,1.2574,1.275,0.9,1.044,429018153.6,476943590.18661,1332502.0
2022-11-07,Binance,MATICUSDT,1.1348,1.291,1.1291,1.2574,240665299.2,294128622.1443,749780.0
2022-11-06,Binance,MATICUSDT,1.1849,1.215,1.1326,1.135,108660119.2,126637668.85627,338156.0
2022-11-05,Binance,MATICUSDT,1.1691,1.3071,1.1531,1.1846,189393717.4,229520531.60225,604349.0
2022-11-04,Binance,MATICUSDT,0.9512,1.199,0.9505,1.1692,300277375.5,333583998.29469,1053988.0
2022-11-03,Binance,MATICUSDT,0.8733,0.9843,0.8684,0.9512,174644970.2,165610833.17746,425593.0
2022-11-02,Binance,MATICUSDT,0.8739,0.8915,0.837,0.8734,110965532.1,95616698.73952,266551.0
2022-11-01,Binance,MATICUSDT,0.9026,0.9094,0.8724,0.8739,47627967.5,42535770.50381,116156.0
2022-10-31,Binance,MATICUSDT,0.9084,0.9298,0.8931,0.9026,59360219.5,54011618.4496,133600.0
2022-10-30,Binance,MATICUSDT,0.9335,0.9488,0.8986,0.9084,64416028.0,59478237.58939,145441.0
2022-10-29,Binance,MATICUSDT,0.9443,0.9593,0.9257,0.9336,65433748.5,61531901.88421,148630.0
2022-10-28,Binance,MATICUSDT,0.9036,0.9469,0.8942,0.9444,69963617.8,64301555.616,154968.0
2022-10-27,Binance,MATICUSDT,0.9372,0.948,0.8936,0.9036,97730707.3,90484632.0595,213259.0
2022-10-26,Binance,MATICUSDT,0.9176,0.968,0.9176,0.9373,104834000.1,98876903.22136,229922.0
2022-10-25,Binance,MATICUSDT,0.8932,0.9487,0.8747,0.9176,98785228.7,89878448.57472,249750.0
2022-10-24,Binance,MATICUSDT,0.8986,0.9088,0.8719,0.8931,92087558.5,82089448.80911,212540.0
2022-10-23,Binance,MATICUSDT,0.8319,0.9047,0.8204,0.8986,69369080.0,59403999.41001,147240.0
2022-10-22,Binance,MATICUSDT,0.8321,0.8407,0.8127,0.8319,37710089.0,31214389.25404,77096.0
2022-10-21,Binance,MATICUSDT,0.8094,0.8336,0.7747,0.832,74134213.3,59664873.0068,165226.0
2022-10-20,Binance,MATICUSDT,0.8445,0.8483,0.8054,0.8094,71430587.0,59315490.42902,170248.0
2022-10-19,Binance,MATICUSDT,0.864,0.8812,0.8398,0.8445,69116601.3,59716273.42669,178729.0
2022-10-18,Binance,MATICUSDT,0.8483,0.8814,0.8357,0.8642,98636927.7,84786951.97127,221246.0
2022-10-17,Binance,MATICUSDT,0.7983,0.85,0.7958,0.8482,49566523.7,41055443.32148,125170.0
2022-10-16,Binance,MATICUSDT,0.7892,0.8099,0.7881,0.7984,21642765.8,17273966.70842,60394.0
2022-10-15,Binance,MATICUSDT,0.7933,0.81,0.7859,0.7892,27921576.1,22271252.08863,80660.0
2022-10-14,Binance,MATICUSDT,0.7748,0.8228,0.7747,0.7933,56700990.9,45514763.05958,138600.0
2022-10-13,Binance,MATICUSDT,0.7827,0.7875,0.7156,0.775,70217913.9,52764022.02755,168725.0
2022-10-12,Binance,MATICUSDT,0.7909,0.8018,0.7819,0.7829,25450425.7,20160912.25043,59487.0
2022-10-11,Binance,MATICUSDT,0.8136,0.8136,0.7845,0.7909,47553455.4,38034777.67489,93930.0
2022-10-10,Binance,MATICUSDT,0.8255,0.8431,0.8116,0.8136,52677506.3,43767935.13103,98118.0
2022-10-09,Binance,MATICUSDT,0.8144,0.8299,0.808,0.8255,22036160.2,18092252.52006,43695.0
2022-10-08,Binance,MATICUSDT,0.8314,0.835,0.8081,0.8144,22349110.0,18336713.47901,47179.0
