Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ADA,Volume_USDT,Tradecount
2022-12-27 00:00:00,Binance,ADAUSDT,0.2653,0.2665,0.2634,0.2641,3653049.8,966804.94552,2436.0
2022-12-26 23:00:00,Binance,ADAUSDT,0.2632,0.2657,0.2632,0.2652,2621416.6,693695.48836,1855.0
2022-12-26 22:00:00,Binance,ADAUSDT,0.2626,0.2639,0.2625,0.2632,1448432.5,381456.10521,1350.0
2022-12-26 21:00:00,Binance,ADAUSDT,0.2629,0.2647,0.2625,0.2627,4714602.9,1243238.72078,3235.0
2022-12-26 20:00:00,Binance,ADAUSDT,0.2627,0.263,0.2623,0.2629,1088178.8,285879.6634,908.0
2022-12-26 19:00:00,Binance,ADAUSDT,0.2617,0.2636,0.2616,0.2625,3096872.2,813809.78578,1670.0
2022-12-26 18:00:00,Binance,ADAUSDT,0.2615,0.2621,0.2612,0.2617,1609482.0,421021.39617,1071.0
2022-12-26 17:00:00,Binance,ADAUSDT,0.2612,0.2618,0.2607,0.2614,1433006.1,374367.61829,1006.0
2022-12-26 16:00:00,Binance,ADAUSDT,0.2612,0.262,0.2607,0.2612,2428185.6,634652.62754,1403.0
2022-12-26 15:00:00,Binance,ADAUSDT,0.2618,0.262,0.2608,0.2612,1707779.2,446260.64225,1235.0
2022-12-26 14:00:00,Binance,ADAUSDT,0.2617,0.2631,0.2612,0.2619,3652529.1,957087.88278,1969.0
2022-12-26 13:00:00,Binance,ADAUSDT,0.2616,0.2623,0.2609,0.2617,2512527.8,657051.19109,1344.0
2022-12-26 12:00:00,Binance,ADAUSDT,0.2608,0.2621,0.2608,0.2616,4437389.4,1160059.91911,1963.0
2022-12-26 11:00:00,Binance,ADAUSDT,0.2603,0.2614,0.2603,0.2607,1627430.1,424595.53668,964.0
2022-12-26 10:00:00,Binance,ADAUSDT,0.2595,0.2614,0.2595,0.2604,1466652.7,382267.51664,1159.0
2022-12-26 09:00:00,Binance,ADAUSDT,0.2592,0.2601,0.2589,0.2596,1372460.1,356175.26974,983.0
2022-12-26 08:00:00,Binance,ADAUSDT,0.2594,0.2598,0.2587,0.2593,1349225.2,349659.83379,861.0
2022-12-26 07:00:00,Binance,ADAUSDT,0.259,0.2595,0.2589,0.2594,975334.2,252848.69349,675.0
2022-12-26 06:00:00,Binance,ADAUSDT,0.26,0.2601,0.2587,0.2591,1032402.2,267820.66686,718.0
2022-12-26 05:00:00,Binance,ADAUSDT,0.2596,0.2601,0.2595,0.2601,1061764.5,275895.18044,711.0
2022-12-26 04:00:00,Binance,ADAUSDT,0.2613,0.2617,0.2595,0.2597,2694089.9,701818.88162,1432.0
2022-12-26 03:00:00,Binance,ADAUSDT,0.2616,0.2625,0.2598,0.2614,6349913.5,1658068.64822,2842.0
2022-12-26 02:00:00,Binance,ADAUSDT,0.2588,0.262,0.2588,0.2616,8906972.0,2320153.89138,3596.0
2022-12-26 01:00:00,Binance,ADAUSDT,0.2585,0.2588,0.2576,0.2588,1702797.7,439647.21157,1104.0
2022-12-26 00:00:00,Binance,ADAUSDT,0.259,0.2594,0.2581,0.2584,2486030.0,642948.12628,1352.0
