Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_MATIC,Volume_USDT,Tradecount
2022-12-27 00:00:00,Binance,MATICUSDT,0.8154,0.8192,0.8085,0.8108,5154604.6,4199984.00487,9120.0
2022-12-26 23:00:00,Binance,MATICUSDT,0.8104,0.8168,0.8092,0.8154,2906792.3,2364831.72218,5672.0
2022-12-26 22:00:00,Binance,MATICUSDT,0.8069,0.8164,0.8058,0.8104,2327330.4,1886186.85054,4150.0
2022-12-26 21:00:00,Binance,MATICUSDT,0.8042,0.8097,0.8035,0.8069,2042846.2,1649709.8409,3475.0
2022-12-26 20:00:00,Binance,MATICUSDT,0.8038,0.8056,0.8034,0.8042,742579.2,597437.24233,1618.0
2022-12-26 19:00:00,Binance,MATICUSDT,0.8018,0.8056,0.8016,0.8038,909117.5,731069.30983,1634.0
2022-12-26 18:00:00,Binance,MATICUSDT,0.8031,0.8039,0.8014,0.8018,538440.2,432129.98383,1373.0
2022-12-26 17:00:00,Binance,MATICUSDT,0.8015,0.8038,0.8002,0.803,971206.5,779146.97794,1932.0
2022-12-26 16:00:00,Binance,MATICUSDT,0.8004,0.8027,0.7994,0.8017,811905.0,650527.57847,1767.0
2022-12-26 15:00:00,Binance,MATICUSDT,0.8006,0.8017,0.799,0.8005,877747.2,702489.02019,1907.0
2022-12-26 14:00:00,Binance,MATICUSDT,0.7999,0.8013,0.7996,0.8006,563395.0,450977.53321,1415.0
2022-12-26 13:00:00,Binance,MATICUSDT,0.8022,0.8024,0.7993,0.7999,1382928.1,1107153.56924,2452.0
2022-12-26 12:00:00,Binance,MATICUSDT,0.8026,0.8037,0.8017,0.8023,981118.2,787647.86951,2017.0
2022-12-26 11:00:00,Binance,MATICUSDT,0.8022,0.804,0.8017,0.8026,836502.1,671581.94227,1649.0
2022-12-26 10:00:00,Binance,MATICUSDT,0.7989,0.8054,0.7989,0.8022,2092675.7,1680108.27153,3389.0
2022-12-26 09:00:00,Binance,MATICUSDT,0.7996,0.8004,0.7985,0.799,544633.7,435445.19037,1264.0
2022-12-26 08:00:00,Binance,MATICUSDT,0.7997,0.8007,0.7978,0.7996,732710.1,585497.69079,1537.0
2022-12-26 07:00:00,Binance,MATICUSDT,0.7989,0.8008,0.7989,0.7998,692177.9,553522.16733,1369.0
2022-12-26 06:00:00,Binance,MATICUSDT,0.801,0.8015,0.7986,0.7989,957069.6,765521.05326,1586.0
