Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-12-27,BTC/USD,16947.0,16987.0,16617.0,16720.0,15678916.251530401,937.73422557
2022-12-26,BTC/USD,16848.0,16963.0,16814.0,16946.0,5475269.034230799,323.1009698
2022-12-25,BTC/USD,16864.0,16874.0,16723.0,16847.0,6358401.16797285,377.42038155
2022-12-24,BTC/USD,16802.0,16891.0,16802.0,16864.0,6742337.257162239,399.80652616
2022-12-23,BTC/USD,16838.0,16966.0,16770.0,16802.0,8902849.54585002,529.86844101
2022-12-22,BTC/USD,16840.0,16873.0,16588.0,16838.0,12934422.505082538,768.16857733
2022-12-21,BTC/USD,16917.0,16934.0,16750.0,16845.0,13299563.765454449,789.52589881
2022-12-20,BTC/USD,16448.0,17066.0,16413.0,16924.0,24724006.69996708,1460.88434767
2022-12-19,BTC/USD,16756.0,16825.0,16261.0,16447.0,33503165.26278061,2037.03807763
2022-12-18,BTC/USD,16794.0,16872.0,16678.0,16755.0,10261216.6847913,612.42713726
2022-12-17,BTC/USD,16648.0,16811.0,16609.0,16793.0,20659828.46009474,1230.26430418
2022-12-16,BTC/USD,17372.0,17544.0,16550.0,16642.0,50065993.175005436,3008.41204032
2022-12-15,BTC/USD,17816.0,17867.0,17299.0,17373.0,33280452.5747145,1915.6422365
2022-12-14,BTC/USD,17786.0,18391.0,17678.0,17813.0,54981413.89663214,3086.58922678
2022-12-13,BTC/USD,17230.0,18000.0,17102.0,17785.0,106044965.32301906,5962.60699033
2022-12-12,BTC/USD,17101.0,17263.0,16879.0,17229.0,42518811.96107031,2467.86301939
2022-12-11,BTC/USD,17132.0,17503.0,17092.0,17110.0,35359713.6599135,2066.61096785
2022-12-10,BTC/USD,17137.0,17240.0,17104.0,17133.0,6344240.84280111,370.29363467
2022-12-09,BTC/USD,17247.0,17366.0,17053.0,17137.0,24401032.3517294,1423.8800462
2022-12-08,BTC/USD,16846.0,17323.0,16756.0,17246.0,30273292.47137456,1755.38052136
2022-12-07,BTC/USD,17095.0,17156.0,16701.0,16846.0,18042073.21109876,1071.00042806
2022-12-06,BTC/USD,16974.0,17109.0,16908.0,17094.0,13196603.400135541,772.00207091
2022-12-05,BTC/USD,17127.0,17436.0,16886.0,16975.0,24767308.2390615,1459.04614074
2022-12-04,BTC/USD,16890.0,17210.0,16885.0,17127.0,24135147.397987563,1409.18709628
2022-12-03,BTC/USD,17091.0,17144.0,16865.0,16889.0,11668075.368757611,690.86833849
2022-12-02,BTC/USD,16982.0,17100.0,16789.0,17090.0,26187173.534188602,1532.30974454
2022-12-01,BTC/USD,17181.0,17335.0,16872.0,16980.0,26518501.710093603,1561.74921732
2022-11-30,BTC/USD,16454.0,17297.0,16446.0,17180.0,46842328.635895,2726.56162025
2022-11-29,BTC/USD,16216.0,16545.0,16101.0,16452.0,26841853.585581478,1631.52526049
2022-11-28,BTC/USD,16436.0,16487.0,16002.0,16214.0,28273070.791670322,1743.74434388
2022-11-27,BTC/USD,16460.0,16603.0,16410.0,16435.0,8118017.7094167,493.94692482
2022-11-26,BTC/USD,16520.0,16697.0,16389.0,16460.0,12770912.381761,775.87560035
2022-11-25,BTC/USD,16603.0,16617.0,16354.0,16519.0,19223916.20861405,1163.74575995
2022-11-24,BTC/USD,16608.0,16804.0,16463.0,16606.0,20025494.829196617,1205.91923577
2022-11-23,BTC/USD,16219.0,16682.0,16168.0,16613.0,48114046.57298453,2896.16845681
2022-11-22,BTC/USD,15766.0,16294.0,15616.0,16217.0,51877711.56791792,3198.97092976
2022-11-21,BTC/USD,16278.0,16305.0,15487.0,15765.0,67946446.73675026,4309.95539085
2022-11-20,BTC/USD,16692.0,16742.0,16184.0,16278.0,19141959.2693613,1175.94048835
2022-11-19,BTC/USD,16682.0,16811.0,16538.0,16695.0,10127130.11395785,606.59659263
2022-11-18,BTC/USD,16683.0,16977.0,16546.0,16685.0,33153206.301296897,1987.00667074
2022-11-17,BTC/USD,16653.0,16735.0,16410.0,16683.0,24698410.53436005,1480.45378735
2022-11-16,BTC/USD,16887.0,17002.0,16347.0,16654.0,73029830.45574084,4385.12252046
2022-11-15,BTC/USD,16625.0,17132.0,16543.0,16886.0,110269041.57900429,6530.20499698
2022-11-14,BTC/USD,16344.0,17200.0,15822.0,16626.0,111537924.99290988,6708.64459238
