Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-12-27,LTC/USD,70.868,71.179,67.858,68.768,685419.9676582608,9967.13540685
2022-12-26,LTC/USD,69.199,71.649,68.658,70.803,1042748.9387175285,14727.4683095
2022-12-25,LTC/USD,65.814,69.778,65.386,69.241,761922.7736420169,11003.92503924
2022-12-24,LTC/USD,65.828,66.084,65.139,65.815,234508.0576073158,3563.13997732
2022-12-23,LTC/USD,66.32,66.811,65.089,65.828,422601.13996917853,6419.77790559
2022-12-22,LTC/USD,65.52,66.73,64.396,66.251,608816.0654414621,9189.53774949
2022-12-21,LTC/USD,65.662,66.859,64.691,65.436,660601.5253596352,10095.38366281
2022-12-20,LTC/USD,63.369,66.378,63.148,65.664,1055403.65005829,16072.78950503
2022-12-19,LTC/USD,64.52,65.099,61.118,63.446,1364992.0531833752,21514.23341398
2022-12-18,LTC/USD,64.988,65.97,63.11,64.441,546042.9703673352,8473.53347042
2022-12-17,LTC/USD,66.318,67.745,62.626,64.948,1665100.5209926083,25637.44104503
2022-12-16,LTC/USD,72.471,73.605,65.0,66.401,2006528.5205499965,30218.34792473
2022-12-15,LTC/USD,75.361,75.519,71.846,72.433,947916.1723739492,13086.79983397
2022-12-14,LTC/USD,77.394,79.201,74.177,75.4,1137203.093121316,15082.26913954
2022-12-13,LTC/USD,76.312,80.295,74.433,77.462,1811210.9814488736,23381.92896451
2022-12-12,LTC/USD,76.589,76.782,73.57,76.272,1272896.3533525479,16688.90750672
2022-12-11,LTC/USD,76.409,78.463,76.337,76.6,411597.37569747394,5373.33388639
2022-12-10,LTC/USD,76.377,77.49,75.677,76.431,416864.0347904219,5454.12247374
2022-12-09,LTC/USD,78.32,78.856,75.91,76.333,820905.3203690458,10754.26513263
2022-12-08,LTC/USD,76.952,78.74,74.545,78.371,1432927.4170763665,18283.89859867
2022-12-07,LTC/USD,79.879,80.373,75.562,76.894,1137587.9637135947,14794.23574939
2022-12-06,LTC/USD,80.207,81.79,77.696,79.875,2168262.77733351,27145.69987272
