Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-12-27,SOL/USD,11.369,11.442,10.716,11.095,1048297.4020694274,94483.76764934
2022-12-26,SOL/USD,11.399,11.508,11.071,11.333,533621.2859178862,47085.61598146
2022-12-25,SOL/USD,11.456,11.559,11.248,11.389,276239.1593116736,24254.909062400002
2022-12-24,SOL/USD,11.796,11.808,11.124,11.456,997916.7472753972,87108.65461552
2022-12-23,SOL/USD,11.833,12.124,11.75,11.796,362196.59227586206,30705.03495048
2022-12-22,SOL/USD,12.138,12.192,11.684,11.833,552824.760018417,46718.90137906
2022-12-21,SOL/USD,12.261,12.29,11.911,12.157,332059.1567760526,27314.23515473
2022-12-20,SOL/USD,11.939,12.488,11.847,12.27,378144.82936561346,30818.64950005
2022-12-19,SOL/USD,12.398,12.587,11.681,11.945,545677.0798284272,45682.467963869996
2022-12-18,SOL/USD,12.531,12.614,12.271,12.368,331067.3055670864,26768.0551073
2022-12-17,SOL/USD,12.245,12.553,11.928,12.52,503597.26191689074,40223.42347579
2022-12-16,SOL/USD,14.062,14.169,12.016,12.248,1615844.0821974515,131927.17849424
2022-12-15,SOL/USD,14.123,14.535,13.886,14.068,1467433.401950541,104310.02288531
2022-12-14,SOL/USD,13.897,14.952,13.822,14.129,1609387.2649956928,113906.66466103
2022-12-13,SOL/USD,13.339,14.246,12.774,13.909,986811.5213078448,70947.69726852
2022-12-12,SOL/USD,13.412,13.51,12.826,13.324,700621.1998673568,52583.39836891
2022-12-11,SOL/USD,13.562,13.81,13.391,13.428,298878.77981404547,22257.87755541
2022-12-10,SOL/USD,13.576,13.737,13.547,13.575,82886.542275555,6105.8226354
2022-12-09,SOL/USD,13.715,14.042,13.521,13.598,504261.36736299796,37083.49517304
2022-12-08,SOL/USD,13.488,13.784,13.273,13.694,871677.3519391103,63653.96173062
2022-12-07,SOL/USD,14.326,14.345,13.43,13.5,477316.73265916493,35356.795011789996
2022-12-06,SOL/USD,13.837,14.377,13.833,14.299,886909.0322855607,62025.94812823
2022-12-05,SOL/USD,13.701,14.172,13.606,13.824,1059896.9040746342,76670.78299151
2022-12-04,SOL/USD,13.29,13.768,13.282,13.713,265585.96273297473,19367.45881521
2022-12-03,SOL/USD,13.726,13.76,13.208,13.309,410343.61220757203,30832.03938745
2022-12-02,SOL/USD,13.484,13.817,13.311,13.709,684153.1178535149,49905.3992161
2022-12-01,SOL/USD,14.177,14.205,13.398,13.504,893391.141109968,66157.51933575
2022-11-30,SOL/USD,13.352,14.335,13.229,14.183,1560291.807790717,110011.40857299
2022-11-29,SOL/USD,13.33,13.974,13.144,13.333,890010.7702222071,66752.47657858
2022-11-28,SOL/USD,14.115,14.158,12.775,13.348,2751022.4698187998,206099.97526362
2022-11-27,SOL/USD,14.179,14.454,14.051,14.138,579457.1104512799,40985.79080855
2022-11-26,SOL/USD,14.019,14.975,13.972,14.165,886970.294675126,62617.03456937
2022-11-25,SOL/USD,14.61,14.613,13.898,14.019,707903.4179568297,50495.99956893
2022-11-24,SOL/USD,14.367,14.949,13.842,14.607,2944052.4326701676,201550.79295339
2022-11-23,SOL/USD,12.462,14.66,12.403,14.358,8386109.813113235,584072.28117518
2022-11-22,SOL/USD,11.833,12.52,10.942,12.439,3409373.7860240694,274087.44963615
2022-11-21,SOL/USD,12.263,12.294,11.274,11.852,1588630.7483588601,134039.04390473
2022-11-20,SOL/USD,12.834,13.632,12.117,12.262,1870893.404294067,152576.52946453
2022-11-19,SOL/USD,13.266,13.266,12.586,12.824,883871.5032927898,68923.23013824
2022-11-18,SOL/USD,13.649,13.871,12.991,13.262,779437.3302523806,58772.23120588
2022-11-17,SOL/USD,14.259,14.492,12.87,13.626,3558807.727261927,261177.72840613
2022-11-16,SOL/USD,14.293,14.605,13.626,14.258,2022323.0851889683,141837.78125887
2022-11-15,SOL/USD,13.999,15.1,13.872,14.303,2594080.6757766195,181366.19420937
2022-11-14,SOL/USD,13.219,15.085,12.117,14.03,3381389.7517132144,241011.38643715
2022-11-13,SOL/USD,14.565,14.758,13.146,13.185,1998673.8812632512,151586.94586752
2022-11-12,SOL/USD,16.504,16.579,14.471,14.571,1477814.579587711,101421.6306079
2022-11-11,SOL/USD,17.567,18.292,15.037,16.499,2374337.3488979093,143907.95496078
2022-11-10,SOL/USD,13.979,18.788,12.406,17.63,6493708.331529643,368332.86055188
2022-11-09,SOL/USD,24.248,24.249,11.57,13.983,7799496.251550281,557784.1844776
2022-11-08,SOL/USD,29.656,31.752,19.405,24.159,12214223.748988753,505576.54493103
2022-11-07,SOL/USD,32.654,33.162,28.1,29.647,4978546.243900197,167927.48824165
2022-11-06,SOL/USD,36.911,37.109,32.322,32.676,4616537.56469145,141282.21216463
2022-11-05,SOL/USD,33.781,38.822,33.693,36.803,6187537.639481349,168125.90385244
2022-11-04,SOL/USD,30.889,34.241,30.708,33.797,1697668.544556406,50231.33841928
2022-11-03,SOL/USD,30.83,32.248,30.632,30.894,1379948.8291649155,44667.21140561
2022-11-02,SOL/USD,32.249,32.953,30.258,30.809,2513174.7331779944,81572.74605401
2022-11-01,SOL/USD,32.582,33.409,32.15,32.25,572568.6168806475,17754.06563971
2022-10-31,SOL/USD,33.025,34.419,32.218,32.582,1435596.0055522036,44061.01545492
2022-10-30,SOL/USD,32.907,33.578,31.956,32.977,1298009.5755199653,39361.05696455
2022-10-29,SOL/USD,32.106,33.905,31.898,32.903,1689378.360948111,51344.20450865
2022-10-28,SOL/USD,30.575,32.641,30.136,32.081,1286548.839260263,40103.14015337
2022-10-27,SOL/USD,31.317,32.398,30.5,30.594,2777127.538393485,90773.60065351
2022-10-26,SOL/USD,30.899,32.164,30.673,31.314,1827760.563300954,58368.79872584
2022-10-25,SOL/USD,28.346,32.346,28.068,30.897,2256409.5061207907,73030.05165941
2022-10-24,SOL/USD,29.363,29.524,28.185,28.32,1293173.49792,45662.906
2022-10-23,SOL/USD,28.051,29.473,27.741,29.3,925413.3938738321,31584.07487624
2022-10-22,SOL/USD,28.12,28.254,27.494,28.03,679517.3247013945,24242.50177315
2022-10-21,SOL/USD,28.039,28.3,26.857,28.11,1104678.3798891848,39298.41266059
2022-10-20,SOL/USD,28.873,29.478,28.001,28.016,1212416.8615013778,43275.87312612
2022-10-19,SOL/USD,30.171,30.26,28.629,28.87,862042.1584410853,29859.44435196
2022-10-18,SOL/USD,31.219,31.49,29.729,30.133,648255.5032491339,21513.14184612
2022-10-17,SOL/USD,30.163,31.309,29.868,31.22,465836.559377049,14921.09415045
2022-10-16,SOL/USD,29.609,30.551,29.609,30.191,530023.0037375866,17555.66240726
2022-10-15,SOL/USD,30.013,30.209,29.408,29.58,362156.18464172154,12243.27872352
2022-10-14,SOL/USD,30.499,32.0,29.615,30.013,777649.0797819396,25910.4081492
2022-10-13,SOL/USD,31.145,31.19,27.881,30.49,2365585.711405249,77585.62516908
