Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-12-27,XRP/USD,0.3664,0.3735,0.3589,0.36798,5736452.169358257,15589032.47284705
2022-12-26,XRP/USD,0.34618,0.37041,0.34597,0.36658,4272518.722727266,11655078.62602233
2022-12-25,XRP/USD,0.35238,0.35246,0.34427,0.34619,1393748.6080893488,4025964.37820084
2022-12-24,XRP/USD,0.35503,0.35503,0.35142,0.35241,1427202.5058360258,4049835.43553255
2022-12-23,XRP/USD,0.34988,0.35568,0.3475,0.35505,2478629.961873157,6981072.98091299
2022-12-22,XRP/USD,0.34515,0.35067,0.34167,0.34988,3411490.0590265747,9750457.46835079
2022-12-21,XRP/USD,0.34843,0.35071,0.33731,0.34533,4464378.802243723,12927862.63065393
2022-12-20,XRP/USD,0.33922,0.35353,0.33606,0.34861,6569156.049118745,18843854.30457745
2022-12-19,XRP/USD,0.35039,0.35348,0.33206,0.33915,9444051.236240631,27846236.8752488
2022-12-18,XRP/USD,0.35504,0.35598,0.34757,0.35032,4377819.98668486,12496631.61305338
2022-12-17,XRP/USD,0.35138,0.35749,0.34699,0.35488,5343377.226107871,15056856.47573228
2022-12-16,XRP/USD,0.37851,0.3805,0.3444,0.35139,8118440.531190138,23103789.32579225
2022-12-15,XRP/USD,0.3853,0.38691,0.37405,0.37857,4768404.547291177,12595833.12806397
2022-12-14,XRP/USD,0.39547,0.39558,0.37711,0.38532,4077372.937457232,10581783.80944989
2022-12-13,XRP/USD,0.38795,0.39739,0.3789,0.39561,5907793.817223335,14933378.37067651
2022-12-12,XRP/USD,0.38112,0.39,0.37082,0.38756,5019199.576358352,12950767.82010102
2022-12-11,XRP/USD,0.38667,0.38883,0.37849,0.38119,3398616.3101829244,8915806.57987598
2022-12-10,XRP/USD,0.38908,0.38949,0.3856,0.38675,1891699.413102194,4891271.9149378
2022-12-09,XRP/USD,0.39461,0.39558,0.385,0.38897,5239543.567030285,13470302.5092688
2022-12-08,XRP/USD,0.38354,0.3967,0.3828,0.39464,6300746.20723924,15965807.33640594
2022-12-07,XRP/USD,0.39136,0.39256,0.37354,0.3834,6289822.875302252,16405380.47809664
2022-12-06,XRP/USD,0.38937,0.39257,0.38081,0.3914,5095812.374115523,13019449.09073971
2022-12-05,XRP/USD,0.38989,0.39554,0.38,0.38969,3354267.2464623144,8607527.12787681
2022-12-04,XRP/USD,0.38728,0.39353,0.38623,0.38992,3445583.4764911276,8836642.0714278
2022-12-03,XRP/USD,0.39585,0.39699,0.38568,0.38746,5563031.528293431,14357692.47998098
2022-12-02,XRP/USD,0.39695,0.39764,0.38375,0.39579,4240313.807828481,10713544.57623609
2022-12-01,XRP/USD,0.4082,0.40945,0.39466,0.39712,3134504.0059175566,7893090.26469973
2022-11-30,XRP/USD,0.3984,0.412,0.39291,0.40827,5140470.362757813,12590859.87889831
2022-11-29,XRP/USD,0.38884,0.40385,0.383,0.39841,5843614.704245341,14667339.43486695
2022-11-28,XRP/USD,0.39639,0.39929,0.37306,0.38886,8489196.432444606,21830983.98509645
2022-11-27,XRP/USD,0.39614,0.40994,0.3944,0.3965,5814178.654204189,14663754.48727412
2022-11-26,XRP/USD,0.40777,0.41414,0.39314,0.39619,5919330.459800949,14940635.70458858
2022-11-25,XRP/USD,0.40199,0.41923,0.38935,0.4078,11017829.434716716,27017727.89288062
2022-11-24,XRP/USD,0.38168,0.405,0.37408,0.40207,10369478.253361782,25790231.18701167
2022-11-23,XRP/USD,0.37542,0.38226,0.3681,0.38159,5099538.253704672,13363920.05478307
2022-11-22,XRP/USD,0.36415,0.3783,0.35094,0.37554,6096328.6896555405,16233500.26536598
2022-11-21,XRP/USD,0.36095,0.3683,0.3457,0.36414,8422213.641483719,23129053.7746024
2022-11-20,XRP/USD,0.38411,0.39637,0.35893,0.36103,9459060.64634054,26200206.75938437
2022-11-19,XRP/USD,0.38279,0.38828,0.37513,0.38434,4454943.4629852455,11591152.26878609
2022-11-18,XRP/USD,0.38153,0.38725,0.37404,0.3828,3702701.0812601405,9672677.85073182
2022-11-17,XRP/USD,0.3751,0.38728,0.36883,0.38155,6255030.284007352,16393736.82088154
2022-11-16,XRP/USD,0.38839,0.39131,0.36139,0.37522,4206126.944182803,11209762.12404137
2022-11-15,XRP/USD,0.37785,0.3975,0.36719,0.38845,8132361.26364072,20935413.21570529
2022-11-14,XRP/USD,0.34085,0.37988,0.32144,0.37785,12135231.990388585,32116532.99030987
2022-11-13,XRP/USD,0.36369,0.36984,0.33314,0.3411,6019996.749004794,17648773.8170765
2022-11-12,XRP/USD,0.38451,0.38451,0.35989,0.36384,5026279.976990567,13814533.79779729
2022-11-11,XRP/USD,0.39432,0.39874,0.36666,0.38466,11166671.87922103,29029979.40836331
2022-11-10,XRP/USD,0.33296,0.40249,0.33033,0.39432,10186561.537537146,25833235.79209055
2022-11-09,XRP/USD,0.40584,0.4109,0.31451,0.33296,10099373.819163285,30332093.40210021
