Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2022-12-27,Bitfinex,ETH/USD,1229.7,1234.9,1202.9,1212.9,13656212.01146132,11259.14091142,,,,,,
2022-12-26,Bitfinex,ETH/USD,1220.0,1232.3,1213.1,1229.2,7269389.996608993,5913.91961976,,,,,,
2022-12-25,Bitfinex,ETH/USD,1222.3,1226.1,1193.9,1219.8,12689400.24542462,10402.85312791,,,,,,
2022-12-24,Bitfinex,ETH/USD,1221.7,1229.0,1216.4,1222.0,1253168.62615984,1025.50624072,,,,,,
2022-12-23,Bitfinex,ETH/USD,1219.8,1233.5,1215.3,1221.7,6440790.703407549,5271.99042597,,,,,,
2022-12-22,Bitfinex,ETH/USD,1214.7,1240.0,1185.1,1219.5,27954907.856845427,22923.25367515,,,,,,
2022-12-21,Bitfinex,ETH/USD,1218.2,1223.8,1205.2,1215.0,15284941.86605265,12580.19906671,,,,,,
2022-12-20,Bitfinex,ETH/USD,1168.1,1232.1,1163.9,1218.1,15917156.887780773,13067.20046612,,,,,,
2022-12-19,Bitfinex,ETH/USD,1184.2,1196.2,1151.2,1167.9,16535405.576775556,14158.23750045,,,,,,
2022-12-18,Bitfinex,ETH/USD,1188.4,1197.3,1173.4,1183.9,6063963.124932916,5122.02308044,,,,,,
2022-12-17,Bitfinex,ETH/USD,1167.7,1190.9,1163.6,1188.2,9381687.141805865,7895.71380391,,,,,,
2022-12-16,Bitfinex,ETH/USD,1267.6,1280.6,1157.0,1167.6,30648734.492191616,26249.34437495,,,,,,
2022-12-15,Bitfinex,ETH/USD,1308.2,1312.1,1260.5,1267.6,21031720.78695727,16591.76458422,,,,,,
2022-12-14,Bitfinex,ETH/USD,1321.5,1352.7,1301.8,1308.2,22809210.65109109,17435.56845367,,,,,,
