Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-12-27,Coinbase,ADA/USD,0.256,0.2664,0.2654,0.2593,36031392.24,9342940.007832
2022-12-26,Coinbase,ADA/USD,0.2576,0.2656,0.2592,0.2653,45072658.63,11957776.334539
2022-12-25,Coinbase,ADA/USD,0.2545,0.2599,0.2592,0.2592,33707597.5,8737009.272
2022-12-24,Coinbase,ADA/USD,0.2566,0.2604,0.2593,0.2591,26159699.18,6777978.057538
2022-12-23,Coinbase,ADA/USD,0.2554,0.264,0.2566,0.2594,54372913.03,14104333.639982002
2022-12-22,Coinbase,ADA/USD,0.2467,0.2569,0.2533,0.2567,47948336.17,12308337.894839
2022-12-21,Coinbase,ADA/USD,0.2479,0.2593,0.2587,0.2534,63497866.05,16090359.25707
2022-12-20,Coinbase,ADA/USD,0.2513,0.2622,0.2529,0.2587,53476323.01,13834324.762687
2022-12-19,Coinbase,ADA/USD,0.2499,0.2695,0.266,0.2529,70961744.41,17946225.161289
2022-12-18,Coinbase,ADA/USD,0.263,0.2719,0.2677,0.2661,54386944.64,14472365.968704
2022-12-17,Coinbase,ADA/USD,0.2589,0.268,0.2636,0.2677,103986351.01,27837146.165377
2022-12-16,Coinbase,ADA/USD,0.2588,0.3013,0.3003,0.2637,97203608.05,25632591.442785
2022-12-15,Coinbase,ADA/USD,0.2967,0.3086,0.308,0.3003,43966227.63,13203058.157289002
2022-12-14,Coinbase,ADA/USD,0.3052,0.3156,0.314,0.308,68412137.66,21070938.39928
2022-12-13,Coinbase,ADA/USD,0.2995,0.32,0.307,0.3141,72314315.67,22713926.551947
2022-12-12,Coinbase,ADA/USD,0.3007,0.308,0.3074,0.307,41872738.59,12854930.74713
2022-12-11,Coinbase,ADA/USD,0.3053,0.315,0.3125,0.3075,25944029.7,7977789.13275
2022-12-10,Coinbase,ADA/USD,0.3106,0.3149,0.3119,0.3126,17622329.21,5508740.111046
2022-12-09,Coinbase,ADA/USD,0.3086,0.3166,0.3144,0.3119,34901098.97,10885652.768743
2022-12-08,Coinbase,ADA/USD,0.3073,0.3158,0.3104,0.3145,35882618.5,11285083.51825
