Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BTC,Volume_USD
2022-12-27,Coinbase,BTC/USD,16836.64,16967.0,16916.66,16858.68,2331.0497275,39298421.420009695
2022-12-26,Coinbase,BTC/USD,16787.97,16939.81,16829.19,16917.96,8493.27661167,143688913.9851686
2022-12-25,Coinbase,BTC/USD,16720.89,16853.88,16837.24,16829.02,7065.21656572,118900670.8888332
2022-12-24,Coinbase,BTC/USD,16775.88,16863.62,16777.88,16837.12,9502.80320659,159999837.92574063
2022-12-23,Coinbase,BTC/USD,16719.57,16943.29,16815.28,16777.21,21958.88697726,368408858.1837562
2022-12-22,Coinbase,BTC/USD,16560.84,16868.82,16825.18,16815.51,21269.7673979,357661986.37706137
2022-12-21,Coinbase,BTC/USD,16725.78,16926.05,16896.17,16826.56,16743.62189364,281737558.4106471
2022-12-20,Coinbase,BTC/USD,16398.22,17060.86,16439.98,16897.65,34330.28235168,580101095.5798656
2022-12-19,Coinbase,BTC/USD,16273.4,16822.84,16742.33,16439.74,26856.08598724,441507071.04786897
2022-12-18,Coinbase,BTC/USD,16663.76,16875.0,16782.23,16741.16,11073.43886205,185382211.73979697
2022-12-17,Coinbase,BTC/USD,16585.64,16799.99,16634.29,16782.25,18446.6836015,309576855.8712734
2022-12-16,Coinbase,BTC/USD,16529.53,17525.0,17359.1,16632.64,47159.86300655,784393023.8372637
2022-12-15,Coinbase,BTC/USD,17275.02,17856.26,17805.36,17357.96,37834.73808374,656733870.2680355
2022-12-14,Coinbase,BTC/USD,17660.93,18385.36,17772.98,17804.97,49295.42072146,877703487.0829737
2022-12-13,Coinbase,BTC/USD,17089.17,17999.99,17212.9,17773.18,38316.03172467,680997728.7282704
2022-12-12,Coinbase,BTC/USD,16875.83,17244.63,17085.62,17211.66,20659.65709227,355586993.5887399
2022-12-11,Coinbase,BTC/USD,17073.19,17271.92,17128.1,17085.21,9948.85267032,169978237.13147795
2022-12-10,Coinbase,BTC/USD,17093.42,17227.64,17130.49,17128.1,7860.58687575,134636918.06653357
2022-12-09,Coinbase,BTC/USD,17060.69,17352.62,17226.03,17130.59,20976.63699864,359342168.0025324
2022-12-08,Coinbase,BTC/USD,16738.0,17300.59,16839.76,17226.01,23533.23453743,405383733.4741145
2022-12-07,Coinbase,BTC/USD,16679.52,17140.22,17089.18,16840.0,22635.46848793,381181289.3367412
2022-12-06,Coinbase,BTC/USD,16904.04,17111.35,16966.05,17089.05,26693.6101171,456168437.9716278
2022-12-05,Coinbase,BTC/USD,16865.22,17424.59,17108.9,16966.05,33618.45109026,570372322.1199057
2022-12-04,Coinbase,BTC/USD,16882.86,17199.99,16889.17,17108.9,16961.10828839,290185905.5952357
2022-12-03,Coinbase,BTC/USD,16863.58,17158.42,17094.25,16888.53,14081.4506716,237815002.1108367
2022-12-02,Coinbase,BTC/USD,16791.02,17108.25,16980.07,17094.71,23096.43686725,394826890.2789472
2022-12-01,Coinbase,BTC/USD,16855.0,17317.8,17165.44,16980.08,31798.99151828,539949419.8997159
