Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BUSD,Volume_USD
2022-12-27,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,151631.43,151631.43
2022-12-26,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,114788.07,114788.07
2022-12-25,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,123619.19,123619.19
2022-12-24,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,210613.55,210613.55
2022-12-23,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,289456.81,289167.35319
2022-12-22,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,201106.81,201106.81
2022-12-21,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,167998.82,167998.82
2022-12-20,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,401132.12,401132.12
2022-12-19,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,660143.6,660143.6
2022-12-18,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,337697.02,337697.02
2022-12-17,Coinbase,BUSD/USD,0.998,1.0,1.0,0.999,595400.99,594805.58901
2022-12-16,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,471934.31,471462.37569
2022-12-15,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,563268.81,563268.81
2022-12-14,Coinbase,BUSD/USD,0.998,1.0,0.999,0.999,717740.22,717022.4797799999
2022-12-13,Coinbase,BUSD/USD,0.994,1.0,0.999,0.998,1773533.14,1769986.07372
2022-12-12,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,658141.26,657483.1187400001
2022-12-11,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,296277.43,296277.43
2022-12-10,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,392215.86,391823.64414
2022-12-09,Coinbase,BUSD/USD,0.999,1.001,0.999,0.999,249424.13,249174.70587
2022-12-08,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,182495.87,182495.87
2022-12-07,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,263432.47,263432.47
2022-12-06,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,348178.91,348178.91
2022-12-05,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,334109.58,334443.68958
2022-12-04,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,203793.02,203996.81302
2022-12-03,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,162370.18,162532.55017999996
2022-12-02,Coinbase,BUSD/USD,0.999,1.001,1.001,0.999,341156.02,340814.86398
2022-12-01,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,396036.68,396432.71668
2022-11-30,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,900658.64,900658.64
2022-11-29,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,616273.4,615657.1266000001
2022-11-28,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,375203.33,374828.12667
2022-11-27,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,218001.5,217783.4985
2022-11-26,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,454122.14,454122.14
2022-11-25,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,313904.42,313904.42
2022-11-24,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,344599.22,344254.62078
2022-11-23,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,1021445.38,1021445.38
2022-11-22,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,407225.24,407225.24
2022-11-21,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,853945.79,853945.79
2022-11-20,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,678643.48,678643.48
2022-11-19,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,240292.27,240292.27
2022-11-18,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,649357.15,649357.15
2022-11-17,Coinbase,BUSD/USD,0.999,1.0,0.999,1.0,503781.88,503781.88
2022-11-16,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,935972.1,935036.1279
2022-11-15,Coinbase,BUSD/USD,0.999,1.0,1.0,0.999,499338.77,498839.4312300001
2022-11-14,Coinbase,BUSD/USD,0.999,1.0,1.0,1.0,1232242.97,1232242.97
2022-11-13,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,892827.83,891935.00217
2022-11-12,Coinbase,BUSD/USD,0.999,1.0,0.999,0.999,682717.31,682034.5926900001
2022-11-11,Coinbase,BUSD/USD,0.986,1.0,1.0,0.999,3580232.84,3576652.60716
2022-11-10,Coinbase,BUSD/USD,0.996,1.0,1.0,0.998,2513290.47,2508263.8890600004
2022-11-09,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,1973626.13,1973626.13
2022-11-08,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,1030464.45,1031494.9144499998
2022-11-07,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,365907.15,366273.05715
2022-11-06,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,306196.02,306196.02
2022-11-05,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,512586.61,512586.61
2022-11-04,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,352678.21,353030.88821
2022-11-03,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,247785.64,248033.42564
2022-11-02,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,397340.23,397737.57023
2022-11-01,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,323352.08,323675.43208
2022-10-31,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,450034.39,450034.39
2022-10-30,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,156738.97,156895.70896999998
