Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD
2022-12-27,Coinbase,DOGE/USD,0.07255,0.07613,0.07568,0.07345,242619635.0,17820412.19075
2022-12-26,Coinbase,DOGE/USD,0.07426,0.07661,0.07596,0.07566,181269092.9,13714819.568814002
2022-12-25,Coinbase,DOGE/USD,0.07314,0.07766,0.07749,0.07599,376647040.3,28621408.592397
2022-12-24,Coinbase,DOGE/USD,0.07663,0.07816,0.07718,0.07749,168273814.7,13039537.901103
2022-12-23,Coinbase,DOGE/USD,0.07618,0.07904,0.07684,0.0772,409085885.2,31581430.337440003
2022-12-22,Coinbase,DOGE/USD,0.07326,0.0778,0.07368,0.07685,577847575.9,44407586.207915
2022-12-21,Coinbase,DOGE/USD,0.07135,0.07504,0.0749,0.07371,481515163.6,35492482.708956
2022-12-20,Coinbase,DOGE/USD,0.07107,0.07566,0.07135,0.07488,452636738.9,33893439.008832
2022-12-19,Coinbase,DOGE/USD,0.06984,0.07952,0.07851,0.07136,763743275.1,54500720.111136
2022-12-18,Coinbase,DOGE/USD,0.07758,0.08007,0.0792,0.07845,273399050.9,21448155.543105
2022-12-17,Coinbase,DOGE/USD,0.07555,0.07951,0.07575,0.07923,620913645.2,49194988.109196
2022-12-16,Coinbase,DOGE/USD,0.07395,0.08683,0.08483,0.07579,834877231.9,63275345.405701
2022-12-15,Coinbase,DOGE/USD,0.08405,0.08884,0.08829,0.08486,365652925.5,31029307.257930003
2022-12-14,Coinbase,DOGE/USD,0.08696,0.09248,0.09101,0.08825,490939557.3,43325415.931725
2022-12-13,Coinbase,DOGE/USD,0.08701,0.09573,0.0903,0.09103,564364599.6,51374109.501588
2022-12-12,Coinbase,DOGE/USD,0.08471,0.09299,0.09264,0.09029,691555357.6,62440533.237704
2022-12-11,Coinbase,DOGE/USD,0.09155,0.09716,0.09628,0.09264,185273891.7,17163773.327088
2022-12-10,Coinbase,DOGE/USD,0.09603,0.09741,0.0967,0.09629,166833998.7,16064445.734823
2022-12-09,Coinbase,DOGE/USD,0.09562,0.09944,0.09849,0.0967,231108350.8,22348177.52236
2022-12-08,Coinbase,DOGE/USD,0.09468,0.09919,0.09575,0.0985,250308915.9,24655428.21615
2022-12-07,Coinbase,DOGE/USD,0.093,0.10122,0.1002,0.09575,355516628.4,34040717.1693
2022-12-06,Coinbase,DOGE/USD,0.098,0.10278,0.1015,0.1002,334588001.5,33525717.7503
2022-12-05,Coinbase,DOGE/USD,0.09926,0.11172,0.10408,0.10149,518565138.1,52629175.865769
2022-12-04,Coinbase,DOGE/USD,0.09954,0.10574,0.09973,0.1041,387657297.0,40355124.6177
2022-12-03,Coinbase,DOGE/USD,0.09809,0.10312,0.10211,0.09969,412731523.7,41145205.597653
2022-12-02,Coinbase,DOGE/USD,0.09639,0.10361,0.10159,0.10213,455118910.8,46481294.360004
2022-12-01,Coinbase,DOGE/USD,0.10019,0.10777,0.10672,0.10163,517942706.2,52638517.231106
2022-11-30,Coinbase,DOGE/USD,0.09937,0.11,0.10143,0.10676,944111800.5,100793375.82138
2022-11-29,Coinbase,DOGE/USD,0.09357,0.10578,0.09505,0.10142,861347595.3,87357873.11532599
2022-11-28,Coinbase,DOGE/USD,0.09053,0.09963,0.0986,0.09506,862598173.9,81998582.410934
2022-11-27,Coinbase,DOGE/USD,0.08877,0.10784,0.08885,0.09861,1151566348.0,113555957.57628
2022-11-26,Coinbase,DOGE/USD,0.08707,0.09548,0.08944,0.08887,600142146.5,53334632.559455
2022-11-25,Coinbase,DOGE/USD,0.08046,0.09179,0.08138,0.08947,675193600.5,60409571.436735
2022-11-24,Coinbase,DOGE/USD,0.0804,0.08414,0.08187,0.08138,210013509.7,17090899.419386
2022-11-23,Coinbase,DOGE/USD,0.07768,0.08343,0.07864,0.08187,363433893.4,29754332.852658
2022-11-22,Coinbase,DOGE/USD,0.07298,0.07954,0.07459,0.07866,403937953.6,31773759.430176
2022-11-21,Coinbase,DOGE/USD,0.07117,0.0773,0.07694,0.07458,495051782.8,36920961.961224
2022-11-20,Coinbase,DOGE/USD,0.07623,0.08574,0.08442,0.07692,335160871.6,25780574.243472
2022-11-19,Coinbase,DOGE/USD,0.08295,0.0849,0.08459,0.0844,129046302.4,10891507.92256
2022-11-18,Coinbase,DOGE/USD,0.08349,0.0867,0.08457,0.08465,196284214.1,16615458.723565
2022-11-17,Coinbase,DOGE/USD,0.0824,0.08723,0.0854,0.08457,277759543.6,23490124.602252003
2022-11-16,Coinbase,DOGE/USD,0.08329,0.09103,0.08696,0.08543,335036739.6,28622188.664028004
2022-11-15,Coinbase,DOGE/USD,0.08469,0.08949,0.0858,0.08695,459914069.3,39989528.325635
2022-11-14,Coinbase,DOGE/USD,0.0791,0.09123,0.08484,0.0858,663161944.6,56899294.84668
2022-11-13,Coinbase,DOGE/USD,0.08261,0.09139,0.08803,0.08483,582048401.2,49375165.87379601
2022-11-12,Coinbase,DOGE/USD,0.07828,0.09488,0.08491,0.08806,850468901.6,74892291.474896
2022-11-11,Coinbase,DOGE/USD,0.07981,0.093,0.08955,0.08488,703401238.1,59704697.089928
2022-11-10,Coinbase,DOGE/USD,0.07292,0.094,0.07445,0.08959,1041438896.9,93302510.773271
2022-11-09,Coinbase,DOGE/USD,0.07035,0.09257,0.08827,0.07446,1340095954.2,99783544.749732
2022-11-08,Coinbase,DOGE/USD,0.07748,0.113,0.11128,0.08835,1555759607.8,137451361.34913
2022-11-07,Coinbase,DOGE/USD,0.107,0.11907,0.11479,0.11128,707755806.5,78759066.14732
2022-11-06,Coinbase,DOGE/USD,0.11194,0.12771,0.1245,0.11479,552981398.1,63476734.687899
2022-11-05,Coinbase,DOGE/USD,0.12034,0.1359,0.12613,0.12448,828320540.3,103109340.856544
2022-11-04,Coinbase,DOGE/USD,0.11545,0.12916,0.12256,0.12616,1567806553.6,197794474.802176
2022-11-03,Coinbase,DOGE/USD,0.11953,0.13698,0.12764,0.12261,1260318587.9,154527662.062419
2022-11-02,Coinbase,DOGE/USD,0.12177,0.148,0.14221,0.1276,1940760073.8,247640985.41688
2022-11-01,Coinbase,DOGE/USD,0.12442,0.1588,0.12688,0.14219,2382098261.8,338710551.84534204
2022-10-31,Coinbase,DOGE/USD,0.11388,0.1316,0.11781,0.12685,1705399336.8,216329905.87308
2022-10-30,Coinbase,DOGE/USD,0.11112,0.1437,0.12172,0.11779,1872742922.0,220590388.78238
2022-10-29,Coinbase,DOGE/USD,0.08268,0.15162,0.0839,0.12185,2977248580.4,362777739.52174
2022-10-28,Coinbase,DOGE/USD,0.0725,0.08857,0.07689,0.08387,1339960929.0,112382523.11523
2022-10-27,Coinbase,DOGE/USD,0.07174,0.08557,0.07268,0.07688,1230764380.4,94621165.56515202
2022-10-26,Coinbase,DOGE/USD,0.06261,0.07368,0.06306,0.07276,634817671.1,46189333.749236
2022-10-25,Coinbase,DOGE/USD,0.05915,0.065,0.05946,0.06305,301118019.7,18985491.142085
2022-10-24,Coinbase,DOGE/USD,0.05867,0.06092,0.06039,0.05946,110948357.6,6596989.342896
2022-10-23,Coinbase,DOGE/USD,0.05867,0.06048,0.0597,0.06038,92437097.0,5581351.91686
2022-10-22,Coinbase,DOGE/USD,0.05911,0.05991,0.05933,0.05971,78806277.8,4705522.847438
2022-10-21,Coinbase,DOGE/USD,0.05714,0.05951,0.05944,0.05933,133532916.7,7922507.947811
2022-10-20,Coinbase,DOGE/USD,0.05824,0.06038,0.05869,0.05945,303239099.2,18027564.44744
2022-10-19,Coinbase,DOGE/USD,0.05821,0.06079,0.05975,0.05869,208317283.9,12226141.392091
2022-10-18,Coinbase,DOGE/USD,0.05853,0.06112,0.05997,0.05975,139532974.5,8337095.226375
2022-10-17,Coinbase,DOGE/USD,0.05855,0.06019,0.05887,0.06,79717252.9,4783035.174000001
2022-10-16,Coinbase,DOGE/USD,0.05846,0.05946,0.0586,0.05891,62318342.3,3671173.544893
2022-10-15,Coinbase,DOGE/USD,0.05797,0.0598,0.05864,0.0586,88242453.2,5171007.75752
2022-10-14,Coinbase,DOGE/USD,0.05806,0.06103,0.05963,0.05866,158700913.1,9309395.562446
2022-10-13,Coinbase,DOGE/USD,0.05501,0.0604,0.0598,0.05967,288595880.7,17220516.201369
