Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_MATIC,Volume_USD
2022-12-27,Coinbase,MATIC/USD,0.7971,0.8193,0.8152,0.8054,13784830.1,11102302.16254
2022-12-26,Coinbase,MATIC/USD,0.7935,0.8167,0.7949,0.8152,13577514.0,11068389.4128
2022-12-25,Coinbase,MATIC/USD,0.7856,0.799,0.7957,0.7949,9379587.6,7455834.18324
2022-12-24,Coinbase,MATIC/USD,0.7928,0.8011,0.7991,0.7956,8808185.1,7007792.065559999
2022-12-23,Coinbase,MATIC/USD,0.7913,0.8073,0.7964,0.7991,17075520.2,13645048.19182
2022-12-22,Coinbase,MATIC/USD,0.7697,0.7975,0.7938,0.7963,23214566.0,18485758.9058
2022-12-21,Coinbase,MATIC/USD,0.7855,0.8035,0.8015,0.7938,26873457.3,21332150.40474
2022-12-20,Coinbase,MATIC/USD,0.7678,0.809,0.7737,0.8013,36145189.7,28963140.50661
2022-12-19,Coinbase,MATIC/USD,0.7576,0.8218,0.8137,0.7738,36414695.0,28177690.991
2022-12-18,Coinbase,MATIC/USD,0.8019,0.8263,0.8164,0.8138,14618173.2,11896269.35016
2022-12-17,Coinbase,MATIC/USD,0.7817,0.8189,0.7956,0.816,28976877.4,23645131.9584
2022-12-16,Coinbase,MATIC/USD,0.7817,0.891,0.8784,0.7956,43655822.6,34732572.46056
2022-12-15,Coinbase,MATIC/USD,0.8717,0.9064,0.9031,0.8786,28092301.7,24681896.27362
2022-12-14,Coinbase,MATIC/USD,0.8932,0.9383,0.9238,0.903,29573398.2,26704778.5746
2022-12-13,Coinbase,MATIC/USD,0.8795,0.9424,0.9112,0.924,43050772.1,39778913.4204
2022-12-12,Coinbase,MATIC/USD,0.8696,0.913,0.892,0.9111,25759143.9,23469156.00729
2022-12-11,Coinbase,MATIC/USD,0.8885,0.9151,0.9085,0.8921,17559138.1,15664507.099010002
2022-12-10,Coinbase,MATIC/USD,0.9006,0.9165,0.9095,0.9084,14893056.2,13528852.25208
2022-12-09,Coinbase,MATIC/USD,0.908,0.9346,0.9278,0.9097,21652345.5,19697138.70135
