Datetime,Symbol_Pair,Low,High,Open,Close,Volume,Volume_USD
2022-12-27,USDT/USD,0.9997,0.99984,0.9998,0.99981,4926472.19,4925536.1602839
2022-12-26,USDT/USD,0.99936,0.99993,0.9999,0.9998,23940455.84,23935667.748832
2022-12-25,USDT/USD,0.9998,0.99999,0.99995,0.9999,21766739.83,21764563.156017
2022-12-24,USDT/USD,0.9997,0.99998,0.99994,0.99994,14384337.73,14383474.6697362
2022-12-23,USDT/USD,0.99972,1.00006,0.99987,0.99995,44183971.14,44181761.941443
2022-12-22,USDT/USD,0.99969,1.00003,1.00002,0.99986,50341643.52,50334595.6899072
2022-12-21,USDT/USD,0.99996,1.0001,1.00003,1.00002,47479723.76,47480673.35447519
2022-12-20,USDT/USD,0.9996,1.00012,1.00001,1.00003,64428316.65,64430249.4994995
2022-12-19,USDT/USD,0.99709,1.00032,1.00016,1.00001,63305551.19,63306184.245511904
2022-12-18,USDT/USD,0.99999,1.00031,1.00005,1.00015,26401404.83,26405365.0407245
2022-12-17,USDT/USD,1.0,1.00022,1.00008,1.00004,50393640.1,50395655.845604
2022-12-16,USDT/USD,0.99989,1.00034,1.00002,1.00007,97622691.91,97629525.4984337
2022-12-15,USDT/USD,0.99393,1.00021,1.00008,1.00003,82211157.97,82213624.3047391
2022-12-14,USDT/USD,0.9985,1.00053,0.9998,1.00009,92834821.81,92843176.9439629
2022-12-13,USDT/USD,0.99473,1.00126,1.0001,0.9998,166704042.99,166670702.18140203
2022-12-12,USDT/USD,0.99908,1.00026,1.00003,1.0001,100030806.84,100040809.920684
2022-12-11,USDT/USD,0.9999,1.0001,0.99999,1.00003,32953512.74,32954501.3453822
2022-12-10,USDT/USD,0.99984,1.00006,0.99999,0.99999,28488452.2,28488167.315478
2022-12-09,USDT/USD,0.99973,1.00015,1.00008,0.99999,53863880.69,53863342.0511931
2022-12-08,USDT/USD,0.99993,1.00037,1.00004,1.00009,62655000.08,62660639.03000719
2022-12-07,USDT/USD,0.99698,1.00134,1.0,1.00004,51751723.39,51753793.4589356
2022-12-06,USDT/USD,0.99951,1.001,0.99999,1.0,55586176.78,55586176.78
2022-12-05,USDT/USD,0.99993,1.00026,1.00013,1.0,62754817.62,62754817.62
2022-12-04,USDT/USD,0.99999,1.00019,1.0001,1.00011,19152546.75,19154653.5301425
2022-12-03,USDT/USD,0.99979,1.00023,1.00006,1.0001,23462686.7,23465032.96867
2022-12-02,USDT/USD,0.9997,1.0025,1.00007,1.00007,49995721.41,49999221.1104987
2022-12-01,USDT/USD,0.99986,1.00022,1.0001,1.00008,39392885.1,39396036.530808
2022-11-30,USDT/USD,0.99945,1.00059,0.99968,1.0001,50279935.39,50284963.383539
2022-11-29,USDT/USD,0.99935,0.9999,0.99958,0.99968,70180631.74,70158173.93784319
2022-11-28,USDT/USD,0.99932,0.99994,0.9995,0.99959,54444277.92,54421955.7660528
2022-11-27,USDT/USD,0.99913,0.9995,0.99941,0.9995,25565647.61,25552864.786195
2022-11-26,USDT/USD,0.9988,0.99952,0.9994,0.99941,31419808.74,31401271.0528434
2022-11-25,USDT/USD,0.99913,0.99944,0.99919,0.9994,44342662.09,44316056.492746
2022-11-24,USDT/USD,0.9987,0.99931,0.9989,0.99919,56821409.17,56775383.8285723
2022-11-23,USDT/USD,0.99855,0.99901,0.99868,0.99891,51432461.96,51376400.5764636
2022-11-22,USDT/USD,0.99849,0.9992,0.99879,0.99869,54260990.7,54189908.802183
2022-11-21,USDT/USD,0.99802,0.999,0.99859,0.99879,59187067.0,59115450.64893
2022-11-20,USDT/USD,0.99832,0.999,0.99886,0.99858,26723680.1,26685732.474258
2022-11-19,USDT/USD,0.99841,0.99899,0.99877,0.99885,24994114.05,24965370.8188425
2022-11-18,USDT/USD,0.99857,0.9995,0.9992,0.99876,52692547.73,52627208.9708148
2022-11-17,USDT/USD,0.99855,0.9997,0.99914,0.9992,39571042.59,39539385.755928
2022-11-16,USDT/USD,0.99855,0.99999,0.99878,0.99913,57551834.64,57501764.5438632
2022-11-15,USDT/USD,0.9979,1.0,0.99836,0.99878,54778068.1,54711238.856918
2022-11-14,USDT/USD,0.99799,0.99882,0.99829,0.99836,67702340.9,67591309.06092401
2022-11-13,USDT/USD,0.99794,0.99898,0.99827,0.99829,60705451.09,60601644.76863611
2022-11-12,USDT/USD,0.9971,0.99893,0.99752,0.99826,44528312.88,44450833.61558881
2022-11-11,USDT/USD,0.995,1.00001,0.99714,0.99752,100579135.66,100329699.4035632
2022-11-10,USDT/USD,0.97122,0.9999,0.99753,0.99713,279609995.77,278807515.0821401
2022-11-09,USDT/USD,0.98905,0.9999,0.9997,0.9976,219855943.44,219328289.175744
2022-11-08,USDT/USD,0.99662,1.00251,1.00009,0.9997,212343653.46,212279950.363962
2022-11-07,USDT/USD,0.9999,1.0002,1.00009,1.00009,112310506.17,112320614.11555529
2022-11-06,USDT/USD,0.99895,1.00015,1.00002,1.00009,48406737.84,48411094.4464056
2022-11-05,USDT/USD,0.99986,1.00019,1.0001,1.00002,66433968.62,66435297.29937239
2022-11-04,USDT/USD,0.9997,1.0005,0.99997,1.0001,90364916.35,90373952.841635
2022-11-03,USDT/USD,0.99977,1.00011,0.99997,0.99997,84266351.23,84263823.2394631
2022-11-02,USDT/USD,0.99525,1.00007,0.99988,0.99998,108765919.29,108763743.9716142
2022-11-01,USDT/USD,0.99815,1.0,0.99994,0.99988,82567728.04,82557819.9126352
2022-10-31,USDT/USD,0.99928,1.00029,1.0002,0.99994,95243691.49,95237976.8685106
2022-10-30,USDT/USD,1.0,1.0005,1.0003,1.0002,97515261.92,97534764.972384
2022-10-29,USDT/USD,1.00019,1.00048,1.00021,1.0003,116818770.93,116853816.561279
2022-10-28,USDT/USD,0.99903,1.00211,1.00006,1.00022,104482412.34,104505398.47071482
2022-10-27,USDT/USD,0.99987,1.0003,1.0002,1.00006,112690776.47,112697537.9165882
2022-10-26,USDT/USD,0.99998,1.00051,1.00028,1.00021,93114794.92,93134349.0269332
2022-10-25,USDT/USD,0.9998,1.00096,1.00006,1.00028,84294040.12,84317642.45123361
2022-10-24,USDT/USD,0.99989,1.00027,1.00008,1.00007,50177454.63,50180967.0518241
2022-10-23,USDT/USD,0.99989,1.00017,1.00009,1.00008,36047793.46,36050677.28347681
2022-10-22,USDT/USD,0.99994,1.0001,1.00009,1.00009,32375985.06,32378898.8986554
2022-10-21,USDT/USD,0.99979,1.0001,0.99992,1.00009,55632958.83,55637965.7962947
2022-10-20,USDT/USD,0.9998,1.001,1.00009,0.99992,64406680.55,64401528.015556
2022-10-19,USDT/USD,0.99989,1.0001,1.00006,1.00008,48415158.62,48419031.8326896
2022-10-18,USDT/USD,0.9999,1.00026,1.00003,1.00007,52023092.7,52026734.316489
2022-10-17,USDT/USD,0.99993,1.0003,1.00005,1.00005,49760993.59,49763481.63967951
2022-10-16,USDT/USD,0.99995,1.00009,1.00003,1.00004,28802113.1,28803265.184524003
2022-10-15,USDT/USD,0.99982,1.00015,1.00004,1.00003,33238800.6,33239797.764018
2022-10-14,USDT/USD,0.99952,1.0002,1.00006,1.00003,69774713.46,69776806.7014038
2022-10-13,USDT/USD,0.99929,1.00017,0.99999,1.00007,83060229.8,83066044.016086
2022-10-12,USDT/USD,0.9994,1.00009,0.99986,0.99999,45990100.16,45989640.2589984
2022-10-11,USDT/USD,0.99942,1.00008,1.00002,0.99985,54204274.76,54196144.118786
2022-10-10,USDT/USD,0.9994,1.00019,1.00009,0.99997,43419652.63,43418350.04042111
2022-10-09,USDT/USD,1.00002,1.00022,1.00008,1.00009,20194487.94,20196305.4439146
2022-10-08,USDT/USD,0.99999,1.00082,1.0001,1.00008,24098327.11,24100254.9761688
2022-10-07,USDT/USD,0.9999,1.00077,1.00012,1.0001,48972287.91,48977185.138791
2022-10-06,USDT/USD,0.99994,1.00082,1.00019,1.00012,56157225.13,56163963.9970156
2022-10-05,USDT/USD,1.00001,1.00034,1.00031,1.00018,44583465.84,44591490.863851205
2022-10-04,USDT/USD,1.00001,1.0006,1.00019,1.00032,32622302.09,32632741.226668805
2022-10-03,USDT/USD,0.99935,1.0005,1.0,1.00018,30152876.57,30158304.087782603
2022-10-02,USDT/USD,0.99981,1.00009,1.00004,1.00001,21737239.35,21737456.7223935
2022-10-01,USDT/USD,0.99984,1.00023,1.00011,1.00004,19584680.05,19585463.437202003
2022-09-30,USDT/USD,0.99984,1.00025,1.00011,1.00011,40813819.15,40818308.6701065
2022-09-29,USDT/USD,0.99892,1.00025,0.99998,1.00008,29064463.37,29066788.5270696
2022-09-28,USDT/USD,0.998,1.00024,0.99997,0.99998,40357758.32,40356951.1648336
2022-09-27,USDT/USD,0.9989,1.00007,1.0,0.99996,42523749.34,42522048.390026405
2022-09-26,USDT/USD,0.99566,1.0002,1.0,1.0,32914021.3,32914021.3
2022-09-25,USDT/USD,0.99996,1.00013,1.00007,1.0,19538243.41,19538243.41
2022-09-24,USDT/USD,0.99858,1.0002,0.99992,1.00007,25890436.54,25892248.8705578
2022-09-23,USDT/USD,0.9995,1.00019,0.99998,0.99992,39480176.52,39477018.105878405
2022-09-22,USDT/USD,0.9998,1.00018,1.00001,0.99999,37618159.76,37617783.5784024
2022-09-21,USDT/USD,0.9947,1.00055,0.99997,1.00001,49434724.27,49435218.61724271
2022-09-20,USDT/USD,0.9999,1.00287,1.00017,0.99999,36731405.16,36731037.8459484
2022-09-19,USDT/USD,0.99985,1.00245,0.99992,1.00017,41044614.64,41051592.2244888
2022-09-18,USDT/USD,0.99974,1.00038,1.0,0.99991,24724851.19,24722625.9533929
2022-09-17,USDT/USD,0.99988,1.00028,0.99997,1.00001,18598539.52,18598725.5053952
2022-09-16,USDT/USD,0.9995,1.00315,0.99996,0.99996,35546826.61,35545404.7369356
2022-09-15,USDT/USD,0.99957,1.00066,1.00015,0.99995,39720092.95,39718106.9453525
2022-09-14,USDT/USD,0.99986,1.00129,1.00002,1.00015,35377308.45,35382615.04626751
2022-09-13,USDT/USD,0.99928,1.00047,1.0002,1.00002,52818586.81,52819643.1817362
2022-09-12,USDT/USD,1.0,1.00078,1.0003,1.0002,43366348.85,43375022.11977
2022-09-11,USDT/USD,1.00004,1.00057,1.00032,1.0003,22316950.04,22323645.125012
2022-09-10,USDT/USD,1.0,1.00115,1.00028,1.00032,30470768.6,30480519.245952003
2022-09-09,USDT/USD,0.99986,1.00102,1.00018,1.00028,52043421.16,52057993.3179248
2022-09-08,USDT/USD,0.99971,1.0004,1.00002,1.00017,35346175.05,35352183.899758495
2022-09-07,USDT/USD,0.99986,1.01003,1.00001,1.00002,38285763.86,38286529.5752772
2022-09-06,USDT/USD,0.99964,1.00073,0.99997,1.00003,47872289.82,47873725.9886946
2022-09-05,USDT/USD,0.9999,1.0002,1.0,0.99998,23753954.2,23753479.120916
2022-09-04,USDT/USD,0.99984,1.00015,1.00005,1.00003,16068372.0,16068854.05116
2022-09-03,USDT/USD,1.0,1.00025,1.00008,1.00005,15732025.32,15732811.921266004
2022-09-02,USDT/USD,0.99981,1.00072,0.99999,1.00008,35805704.35,35808568.806348
2022-09-01,USDT/USD,0.99949,1.00018,0.99995,0.99998,27258379.36,27257834.1924128
2022-08-31,USDT/USD,0.9999,1.00132,1.00012,0.99996,34844297.06,34842903.2881176
2022-08-30,USDT/USD,0.9999,1.00106,0.99997,1.00012,29415756.55,29419286.440786
2022-08-29,USDT/USD,0.99979,1.00897,0.99992,0.99996,35400442.65,35399026.632294
2022-08-28,USDT/USD,0.99987,1.00009,1.0,0.99992,16787488.97,16786145.9708824
2022-08-27,USDT/USD,0.99991,1.00038,1.00004,1.0,21548367.83,21548367.83
