Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-12-26 04:00:00,Gemini,ETH/USD,1220.38,1232.58,1211.54,1223.39,1101.147068,1347132.3115205201
2022-12-25 04:00:00,Gemini,ETH/USD,1220.84,1223.31,1195.52,1220.38,849.039866,1036151.27166908
2022-12-24 04:00:00,Gemini,ETH/USD,1217.99,1226.2,1215.02,1220.84,736.068713,898622.12757892
2022-12-23 04:00:00,Gemini,ETH/USD,1223.33,1229.68,1211.96,1217.99,2001.509815,2437818.93957185
2022-12-22 04:00:00,Gemini,ETH/USD,1214.55,1236.43,1183.17,1223.33,2354.19459,2879956.8677847
2022-12-21 04:00:00,Gemini,ETH/USD,1210.77,1221.97,1204.95,1214.55,2485.264195,3018477.62803725
2022-12-20 04:00:00,Gemini,ETH/USD,1192.21,1229.99,1190.8,1210.77,2587.576115,3132959.53275855
2022-12-19 04:00:00,Gemini,ETH/USD,1179.28,1199.0,1151.0,1192.21,3061.010981,3649367.90165801
2022-12-18 04:00:00,Gemini,ETH/USD,1186.5,1204.31,1173.41,1179.28,3268.699464,3854711.9039059198
2022-12-17 04:00:00,Gemini,ETH/USD,1174.94,1189.51,1172.14,1186.5,1316.834014,1562423.557611
2022-12-16 04:00:00,Gemini,ETH/USD,1280.0,1280.0,1156.33,1174.94,5631.323607,6616467.358808581
2022-12-15 04:00:00,Gemini,ETH/USD,1291.56,1291.56,1260.0,1280.0,1130.227791,1446691.57248
2022-12-14 04:00:00,Gemini,ETH/USD,1322.38,1349.9,1278.07,1291.56,5720.191396,7387970.39941776
2022-12-13 04:00:00,Gemini,ETH/USD,1270.0,1346.3,1255.81,1322.38,8649.723152,11438220.901741762
2022-12-12 04:00:00,Gemini,ETH/USD,1243.06,1279.02,1240.94,1270.0,2653.516307,3369965.70989
2022-12-11 04:00:00,Gemini,ETH/USD,1273.18,1283.41,1241.56,1243.06,1786.288329,2220463.57024674
2022-12-10 04:00:00,Gemini,ETH/USD,1264.55,1283.13,1259.9,1273.18,2249.068677,2863469.2581828604
2022-12-09 04:00:00,Gemini,ETH/USD,1282.8,1295.29,1256.43,1264.55,2465.940799,3118305.43737545
2022-12-08 04:00:00,Gemini,ETH/USD,1231.67,1291.26,1225.38,1282.8,4832.80853,6199526.782284
2022-12-07 04:00:00,Gemini,ETH/USD,1263.15,1263.15,1222.46,1231.67,962.37045,1185322.8121515
2022-12-06 04:00:00,Gemini,ETH/USD,1261.3,1277.14,1241.99,1263.15,3157.536792,3988442.5988148
2022-12-05 04:00:00,Gemini,ETH/USD,1291.41,1305.16,1247.3,1261.3,4377.063103,5520789.6918139
2022-12-04 04:00:00,Gemini,ETH/USD,1256.17,1298.47,1251.35,1291.41,3133.288018,4046359.4793253806
2022-12-03 04:00:00,Gemini,ETH/USD,1286.74,1290.99,1235.18,1256.17,2396.853713,3010855.7286592103
2022-12-02 04:00:00,Gemini,ETH/USD,1271.77,1304.7,1267.98,1286.74,4440.343162,5713567.16027188
2022-12-01 04:00:00,Gemini,ETH/USD,1289.2,1289.2,1265.81,1271.77,822.868681,1046499.7024353701
2022-11-30 04:00:00,Gemini,ETH/USD,1263.95,1310.0,1256.92,1289.2,6967.692689,8982749.414658802
2022-11-29 04:00:00,Gemini,ETH/USD,1184.49,1284.13,1183.57,1263.95,7578.761263,9579175.29836885
