Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_LTC,Volume_USD
2022-12-26 04:00:00,Gemini,LTC/USD,69.06,71.5,68.62,70.38,5232.18601,368241.2513838
2022-12-25 04:00:00,Gemini,LTC/USD,65.82,69.85,65.38,69.06,2634.508,181939.12248
2022-12-24 04:00:00,Gemini,LTC/USD,65.58,65.97,65.11,65.82,1726.30174,113625.1805268
2022-12-23 04:00:00,Gemini,LTC/USD,66.24,66.35,64.92,65.58,2529.44428,165880.9558824
2022-12-22 04:00:00,Gemini,LTC/USD,65.5,66.6,64.25,66.24,1650.21906,109310.51053439999
2022-12-21 04:00:00,Gemini,LTC/USD,65.44,65.9,64.71,65.5,4111.41913,269297.95301500004
2022-12-20 04:00:00,Gemini,LTC/USD,64.84,66.76,64.27,65.44,4882.72442,319525.48604479997
2022-12-19 04:00:00,Gemini,LTC/USD,62.59,65.36,61.02,64.84,5195.9563,336905.806492
2022-12-18 04:00:00,Gemini,LTC/USD,64.86,65.87,61.62,62.59,4318.79544,270313.4065896
2022-12-17 04:00:00,Gemini,LTC/USD,66.38,66.89,62.59,64.86,6960.41699,451452.64597139996
2022-12-16 04:00:00,Gemini,LTC/USD,73.2,73.32,65.05,66.38,7417.31208,492361.1758703999
2022-12-15 04:00:00,Gemini,LTC/USD,74.9,74.9,71.77,73.2,2290.28431,167648.811492
2022-12-14 04:00:00,Gemini,LTC/USD,78.46,78.97,73.69,74.9,7635.82807,571923.522443
2022-12-13 04:00:00,Gemini,LTC/USD,76.87,79.71,74.46,78.46,7300.00287,572758.2251802
2022-12-12 04:00:00,Gemini,LTC/USD,74.3,77.25,73.6,76.87,6249.53645,480401.8669115
2022-12-11 04:00:00,Gemini,LTC/USD,77.34,78.32,74.1,74.3,3545.06222,263398.12294599996
2022-12-10 04:00:00,Gemini,LTC/USD,76.45,77.97,75.7,77.34,2008.98403,155374.8248802
2022-12-09 04:00:00,Gemini,LTC/USD,78.02,78.61,75.88,76.45,3094.24766,236555.233607
2022-12-08 04:00:00,Gemini,LTC/USD,76.56,78.83,74.52,78.02,4744.37632,370156.2404864
2022-12-07 04:00:00,Gemini,LTC/USD,79.25,79.25,75.88,76.56,1849.7487,141616.76047200002
2022-12-06 04:00:00,Gemini,LTC/USD,81.6,81.6,77.61,79.25,6597.95236,522887.72453
2022-12-05 04:00:00,Gemini,LTC/USD,77.9,84.92,77.84,81.6,20066.40937,1637419.004592
2022-12-04 04:00:00,Gemini,LTC/USD,76.56,78.6,75.83,77.9,4272.76457,332848.36000300007
2022-12-03 04:00:00,Gemini,LTC/USD,77.16,77.48,75.45,76.56,3286.43293,251609.3051208
2022-12-02 04:00:00,Gemini,LTC/USD,75.92,78.15,75.52,77.16,3576.81568,275987.0978688
2022-12-01 04:00:00,Gemini,LTC/USD,77.32,78.5,75.47,75.92,1197.31223,90899.9445016
2022-11-30 04:00:00,Gemini,LTC/USD,78.34,80.57,76.28,77.32,4946.93273,382496.8386836
2022-11-29 04:00:00,Gemini,LTC/USD,75.66,80.57,74.93,78.34,9431.48938,738862.8780292001
2022-11-28 04:00:00,Gemini,LTC/USD,72.4,76.36,70.5,75.66,13053.6476,987638.977416
2022-11-27 04:00:00,Gemini,LTC/USD,77.5,79.18,71.24,72.4,6573.95255,475954.16462000005
2022-11-26 04:00:00,Gemini,LTC/USD,74.8,79.65,74.77,77.5,11702.91924,906976.2411
2022-11-25 04:00:00,Gemini,LTC/USD,77.63,77.93,73.25,74.8,13433.60914,1004833.963672
2022-11-24 04:00:00,Gemini,LTC/USD,76.36,79.67,74.94,77.63,13632.51312,1058291.9935056
2022-11-23 04:00:00,Gemini,LTC/USD,81.61,81.61,75.69,76.36,18154.54911,1386281.3700396
2022-11-22 04:00:00,Gemini,LTC/USD,62.33,83.23,61.0,81.61,20067.96369,1637746.5167409
2022-11-21 04:00:00,Gemini,LTC/USD,60.23,62.74,59.27,62.33,5825.63877,363112.06453409995
2022-11-20 04:00:00,Gemini,LTC/USD,63.57,63.79,59.16,60.23,3759.10508,226410.89896839997
2022-11-19 04:00:00,Gemini,LTC/USD,62.07,64.75,61.77,63.57,3886.05119,247036.2741483
2022-11-18 04:00:00,Gemini,LTC/USD,62.48,63.36,61.25,62.07,5455.62337,338630.54257590004
2022-11-17 04:00:00,Gemini,LTC/USD,57.64,63.54,57.05,62.48,10722.43827,669937.9431096
2022-11-16 04:00:00,Gemini,LTC/USD,59.06,59.06,56.81,57.64,5975.3591,344419.698524
2022-11-15 04:00:00,Gemini,LTC/USD,57.99,60.0,57.19,59.06,4678.98874,276341.0749844
2022-11-14 04:00:00,Gemini,LTC/USD,56.05,59.11,53.45,57.99,9711.78292,563186.2915308
2022-11-13 04:00:00,Gemini,LTC/USD,59.76,59.85,55.36,56.05,3157.08253,176954.4758065
2022-11-12 04:00:00,Gemini,LTC/USD,60.01,60.84,58.03,59.76,7963.80603,475917.04835279996
2022-11-11 04:00:00,Gemini,LTC/USD,60.07,63.99,58.36,60.01,11679.77338,700903.2005338001
2022-11-10 04:00:00,Gemini,LTC/USD,52.87,63.65,52.32,60.07,11673.10324,701203.3116268
2022-11-09 04:00:00,Gemini,LTC/USD,59.26,59.26,47.53,52.87,14110.24108,746008.4458995999
2022-11-08 04:00:00,Gemini,LTC/USD,64.38,68.77,53.89,59.26,29673.63301,1758459.4921726
2022-11-07 04:00:00,Gemini,LTC/USD,71.56,72.0,64.34,64.38,18102.33387,1165428.2545505997
2022-11-06 04:00:00,Gemini,LTC/USD,69.07,73.27,67.57,71.56,12603.31984,901893.5677504
2022-11-05 04:00:00,Gemini,LTC/USD,68.47,71.87,67.84,69.07,15435.6025,1066137.064675
2022-11-04 04:00:00,Gemini,LTC/USD,62.48,70.46,62.4,68.47,25998.88956,1780143.9681732
2022-11-03 04:00:00,Gemini,LTC/USD,63.26,63.65,60.18,62.48,11633.41763,726855.9335224
2022-11-02 04:00:00,Gemini,LTC/USD,55.39,64.71,55.39,63.26,9495.90996,600711.2640696
2022-11-01 04:00:00,Gemini,LTC/USD,54.97,55.95,54.54,55.39,15171.99537,840376.8235443
2022-10-31 04:00:00,Gemini,LTC/USD,55.39,56.43,53.91,54.97,18943.69214,1041334.7569358
2022-10-30 04:00:00,Gemini,LTC/USD,56.71,57.24,54.27,55.39,7970.06417,441461.8543763
2022-10-29 04:00:00,Gemini,LTC/USD,55.49,57.59,54.94,56.71,12296.95061,697360.0690931
2022-10-28 04:00:00,Gemini,LTC/USD,54.55,55.55,53.55,55.49,10263.76383,569536.2549267
