Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_SOL,Volume_USD
2022-12-26 04:00:00,Gemini,SOL/USD,11.434,11.494,11.08,11.285,35541.502318,401085.85365863
2022-12-25 04:00:00,Gemini,SOL/USD,11.462,11.554,11.259,11.434,3339.565083,38184.587159022
2022-12-24 04:00:00,Gemini,SOL/USD,11.777,11.786,11.063,11.462,16507.923963,189213.824463906
2022-12-23 04:00:00,Gemini,SOL/USD,12.019,12.04,11.734,11.777,32651.202711,384533.214327447
2022-12-22 04:00:00,Gemini,SOL/USD,12.132,12.132,11.672,12.019,51363.036394,617332.334419486
2022-12-21 04:00:00,Gemini,SOL/USD,12.087,12.214,11.901,12.132,47667.834007,578306.1621729239
2022-12-20 04:00:00,Gemini,SOL/USD,12.187,12.48,12.069,12.087,62264.14939,752586.77367693
2022-12-19 04:00:00,Gemini,SOL/USD,12.231,12.352,11.665,12.187,123922.002763,1510237.447672681
2022-12-18 04:00:00,Gemini,SOL/USD,12.468,12.596,12.2,12.231,52947.439909,647600.137526979
2022-12-17 04:00:00,Gemini,SOL/USD,12.271,12.53,12.15,12.468,79518.546261,991437.2347821479
2022-12-16 04:00:00,Gemini,SOL/USD,14.4,14.4,11.931,12.271,164532.403122,2018977.118710062
2022-12-15 04:00:00,Gemini,SOL/USD,14.376,14.4,13.876,14.4,24836.237898,357641.8257312
2022-12-14 04:00:00,Gemini,SOL/USD,13.946,14.954,13.803,14.376,80059.96135,1150942.0043676
2022-12-13 04:00:00,Gemini,SOL/USD,13.075,14.16,12.787,13.946,52375.060133,730422.5886148179
2022-12-12 04:00:00,Gemini,SOL/USD,12.948,13.386,12.92,13.075,46027.217768,601805.8723165999
2022-12-11 04:00:00,Gemini,SOL/USD,13.649,13.797,12.814,12.948,20127.782687,260614.530231276
2022-12-10 04:00:00,Gemini,SOL/USD,13.636,13.737,13.535,13.649,5125.674769,69960.334922081
2022-12-09 04:00:00,Gemini,SOL/USD,13.74,14.012,13.513,13.636,47650.200246,649758.1305544559
2022-12-08 04:00:00,Gemini,SOL/USD,13.446,13.785,13.277,13.74,21120.56309,290196.5368566
2022-12-07 04:00:00,Gemini,SOL/USD,14.033,14.033,13.339,13.446,9722.419466,130727.65213983599
2022-12-06 04:00:00,Gemini,SOL/USD,14.17,14.371,13.886,14.033,43514.190816,610634.639720928
2022-12-05 04:00:00,Gemini,SOL/USD,13.901,14.29,13.574,14.17,97302.227317,1378772.56108189
2022-12-04 04:00:00,Gemini,SOL/USD,13.422,14.165,13.35,13.901,28486.177593,395986.354720293
2022-12-03 04:00:00,Gemini,SOL/USD,13.641,13.685,13.195,13.422,39494.764084,530098.7235354481
2022-12-02 04:00:00,Gemini,SOL/USD,13.43,13.821,13.337,13.641,84106.875807,1147301.892883287
2022-12-01 04:00:00,Gemini,SOL/USD,13.94,13.94,13.321,13.43,8293.355043,111379.75822748999
2022-11-30 04:00:00,Gemini,SOL/USD,13.494,14.302,13.207,13.94,85985.597336,1198639.2268638401
2022-11-29 04:00:00,Gemini,SOL/USD,13.465,13.946,13.273,13.494,54680.927332,737864.433418008
2022-11-28 04:00:00,Gemini,SOL/USD,13.067,13.734,12.87,13.465,67852.526671,913634.271625015
2022-11-27 04:00:00,Gemini,SOL/USD,14.257,14.429,12.771,13.067,92243.585409,1205346.930539403
2022-11-26 04:00:00,Gemini,SOL/USD,14.362,14.944,13.982,14.257,47107.543386,671612.246054202
2022-11-25 04:00:00,Gemini,SOL/USD,14.18,14.572,13.896,14.362,41659.879251,598319.1858028619
2022-11-24 04:00:00,Gemini,SOL/USD,14.642,14.801,13.867,14.18,71101.373472,1008217.4758329601
2022-11-23 04:00:00,Gemini,SOL/USD,13.019,14.979,12.709,14.642,135431.579902,1982989.192925084
2022-11-22 04:00:00,Gemini,SOL/USD,11.581,13.451,10.932,13.019,143489.660073,1868091.884490387
2022-11-21 04:00:00,Gemini,SOL/USD,11.731,12.129,11.26,11.581,124197.150421,1438327.199025601
2022-11-20 04:00:00,Gemini,SOL/USD,12.903,13.55,11.54,11.731,106477.980586,1249093.190254366
2022-11-19 04:00:00,Gemini,SOL/USD,12.87,12.989,12.564,12.903,47670.157327,615088.039990281
2022-11-18 04:00:00,Gemini,SOL/USD,13.685,13.685,12.624,12.87,41209.972509,530372.34619083
2022-11-17 04:00:00,Gemini,SOL/USD,14.237,14.424,12.902,13.685,140226.215212,1918995.7551762203
2022-11-16 04:00:00,Gemini,SOL/USD,14.555,14.555,13.631,14.237,40565.510339,577531.1706963431
2022-11-15 04:00:00,Gemini,SOL/USD,14.186,18.0,13.919,14.555,69240.703159,1007798.434479245
2022-11-14 04:00:00,Gemini,SOL/USD,13.028,15.611,12.45,14.186,55820.880319,791875.0082053341
2022-11-13 04:00:00,Gemini,SOL/USD,14.482,14.657,12.01,13.028,70119.815866,913520.961102248
2022-11-12 04:00:00,Gemini,SOL/USD,15.9,16.007,13.934,14.482,41665.416271,603398.558436622
2022-11-11 04:00:00,Gemini,SOL/USD,16.319,18.25,15.228,15.9,77211.234456,1227658.6278504
2022-11-10 04:00:00,Gemini,SOL/USD,15.156,19.0,12.66,16.319,283192.074938,4621411.470913222
2022-11-09 04:00:00,Gemini,SOL/USD,22.096,22.096,11.73,15.156,265343.695342,4021549.046603352
2022-11-08 04:00:00,Gemini,SOL/USD,26.659,31.733,20.5,22.096,708736.804979,15660248.442815984
2022-11-07 04:00:00,Gemini,SOL/USD,32.455,32.868,25.86,26.659,268258.529006,7151504.124770954
2022-11-06 04:00:00,Gemini,SOL/USD,36.023,36.372,32.133,32.455,60339.660148,1958323.67010334
2022-11-05 04:00:00,Gemini,SOL/USD,34.692,38.781,34.4,36.023,157681.19722,5680149.76745606
2022-11-04 04:00:00,Gemini,SOL/USD,31.94,35.033,31.698,34.692,66964.613504,2323136.3716807677
2022-11-03 04:00:00,Gemini,SOL/USD,31.636,32.229,30.606,31.94,30725.209411,981363.1885873401
2022-11-02 04:00:00,Gemini,SOL/USD,32.273,32.932,30.217,31.636,42265.181569,1337101.284116884
2022-11-01 04:00:00,Gemini,SOL/USD,32.61,33.379,31.924,32.273,23773.16583,767231.3808315902
2022-10-31 04:00:00,Gemini,SOL/USD,32.784,34.371,32.167,32.61,47642.548849,1553623.51796589
2022-10-30 04:00:00,Gemini,SOL/USD,32.99,33.535,31.94,32.784,26196.960589,858841.155949776
2022-10-29 04:00:00,Gemini,SOL/USD,32.946,33.846,32.552,32.99,36152.637875,1192675.5234962502
2022-10-28 04:00:00,Gemini,SOL/USD,30.677,33.004,30.121,32.946,61395.191418,2022725.976457428
2022-10-27 04:00:00,Gemini,SOL/USD,31.466,32.35,30.367,30.677,46048.420264,1412627.388438728
2022-10-26 04:00:00,Gemini,SOL/USD,31.127,31.627,31.056,31.466,3200.310218,100700.96131958801
2022-10-25 04:00:00,Gemini,SOL/USD,28.483,32.317,28.045,31.127,114028.290335,3549358.593257545
2022-10-24 04:00:00,Gemini,SOL/USD,28.607,29.187,28.105,28.483,30136.557783,858379.575333189
2022-10-23 04:00:00,Gemini,SOL/USD,28.364,29.488,27.738,28.607,29602.582033,846841.0642180309
2022-10-22 04:00:00,Gemini,SOL/USD,27.826,28.578,27.482,28.364,21176.680901,600655.377075964
2022-10-21 04:00:00,Gemini,SOL/USD,28.129,28.27,26.854,27.826,57636.114931,1603782.5340700059
2022-10-20 04:00:00,Gemini,SOL/USD,28.932,29.462,27.515,28.129,54879.802311,1543713.959206119
2022-10-19 04:00:00,Gemini,SOL/USD,30.056,30.056,28.421,28.932,15400.663564,445571.998233648
2022-10-18 04:00:00,Gemini,SOL/USD,31.087,31.241,29.729,30.056,33436.448112,1004965.884454272
2022-10-17 04:00:00,Gemini,SOL/USD,30.007,31.485,29.953,31.087,30338.390834,943129.555856558
2022-10-16 04:00:00,Gemini,SOL/USD,29.763,30.521,29.69,30.007,18493.550369,554935.965922583
2022-10-15 04:00:00,Gemini,SOL/USD,30.112,30.185,29.367,29.763,26427.029579,786547.681359777
2022-10-14 04:00:00,Gemini,SOL/USD,31.64,31.978,29.644,30.112,42749.848525,1287283.4387848
2022-10-13 04:00:00,Gemini,SOL/USD,30.773,31.884,27.822,31.64,144593.715,4574945.1426
2022-10-12 04:00:00,Gemini,SOL/USD,30.96,31.286,30.519,30.773,12368.788906,380624.74100433796
2022-10-11 04:00:00,Gemini,SOL/USD,31.372,31.856,30.423,30.96,36009.491081,1114853.84386776
2022-10-10 04:00:00,Gemini,SOL/USD,33.03,33.117,31.079,31.372,23949.300475,751337.4545017
2022-10-09 04:00:00,Gemini,SOL/USD,32.526,33.46,32.468,33.03,7926.357007,261807.57194121
