Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_USDC,Volume_USD
2022-12-26 04:00:00,Gemini,USDC/USD,0.99968,0.99992,0.99615,0.99942,1311950.324705,1311189.3935166711
2022-12-25 04:00:00,Gemini,USDC/USD,0.99906,0.99975,0.99615,0.99968,372211.79311,372092.6853362048
2022-12-24 04:00:00,Gemini,USDC/USD,0.99983,0.99992,0.99616,0.99906,775075.99807,774347.4266318141
2022-12-23 04:00:00,Gemini,USDC/USD,0.9998,1.0019,0.99911,0.99983,1533069.301857,1532808.6800756843
2022-12-22 04:00:00,Gemini,USDC/USD,0.99984,1.0,0.99916,0.9998,1249252.511504,1249002.6610016993
2022-12-21 04:00:00,Gemini,USDC/USD,0.99964,1.0,0.99919,0.99984,1908775.530654,1908470.126569095
2022-12-20 04:00:00,Gemini,USDC/USD,0.99976,1.0,0.99909,0.99964,2086677.768869,2085926.5648722071
2022-12-19 04:00:00,Gemini,USDC/USD,0.99976,1.00022,0.99313,0.99976,8516857.898303,8514813.852407407
2022-12-18 04:00:00,Gemini,USDC/USD,0.99985,1.0,0.99911,0.99976,839342.848217,839141.405933428
2022-12-17 04:00:00,Gemini,USDC/USD,0.99985,1.00009,0.9991,0.99985,512405.762775,512328.9019105838
2022-12-16 04:00:00,Gemini,USDC/USD,0.99976,1.00009,0.99884,0.99985,2458446.257164,2458077.4902254255
2022-12-15 04:00:00,Gemini,USDC/USD,0.99994,1.0,0.99923,0.99976,646516.94478,646361.7807132528
2022-12-14 04:00:00,Gemini,USDC/USD,0.99932,1.00049,0.99866,0.99994,2628760.055906,2628602.330302646
2022-12-13 04:00:00,Gemini,USDC/USD,0.99987,1.00002,0.99092,0.99932,4476906.241281,4473861.945036929
2022-12-12 04:00:00,Gemini,USDC/USD,0.99999,1.00005,0.99331,0.99987,4009163.539237,4008642.3479768992
2022-12-11 04:00:00,Gemini,USDC/USD,0.99983,1.00018,0.99951,0.99999,985382.213076,985372.3592538693
2022-12-10 04:00:00,Gemini,USDC/USD,1.00008,1.0023,0.99969,0.99983,1127031.233995,1126839.6386852209
2022-12-09 04:00:00,Gemini,USDC/USD,0.99992,1.00499,0.99945,1.00008,3181643.829341,3181898.3608473474
2022-12-08 04:00:00,Gemini,USDC/USD,0.99997,1.0,0.999,0.99992,3030780.577983,3030538.1155367615
2022-12-07 04:00:00,Gemini,USDC/USD,0.99993,1.00146,0.99922,0.99997,1421439.326997,1421396.6838171901
2022-12-06 04:00:00,Gemini,USDC/USD,0.9999,1.0014,0.99806,0.99993,3476744.234926,3476500.862829555
2022-12-05 04:00:00,Gemini,USDC/USD,0.99964,1.00062,0.99552,0.9999,3881415.759601,3881027.6180250403
2022-12-04 04:00:00,Gemini,USDC/USD,0.99958,0.99979,0.99903,0.99964,1118014.502295,1117612.0170741738
2022-12-03 04:00:00,Gemini,USDC/USD,0.99977,0.99988,0.99927,0.99958,635358.660499,635091.8098615904
2022-12-02 04:00:00,Gemini,USDC/USD,0.99973,0.99987,0.99904,0.99977,1609213.658009,1608843.538867658
2022-12-01 04:00:00,Gemini,USDC/USD,0.99961,0.99991,0.99912,0.99973,641917.441632,641744.1239227594
2022-11-30 04:00:00,Gemini,USDC/USD,0.99983,1.0023,0.9955,0.99961,3900411.58694,3898890.4264210933
2022-11-29 04:00:00,Gemini,USDC/USD,0.99993,1.0067,0.99955,0.99983,3544622.005967,3544019.420225986
2022-11-28 04:00:00,Gemini,USDC/USD,1.00017,1.0077,0.99978,0.99993,2825373.023073,2825175.2469613845
2022-11-27 04:00:00,Gemini,USDC/USD,1.00001,1.00058,0.99984,1.00017,782081.097662,782214.0514486026
2022-11-26 04:00:00,Gemini,USDC/USD,1.00081,1.00225,0.99999,1.00001,472858.361689,472863.0902726169
2022-11-25 04:00:00,Gemini,USDC/USD,1.0,1.0133,0.99998,1.00081,1797724.91464,1799181.0718208584
2022-11-24 04:00:00,Gemini,USDC/USD,1.00008,1.00039,0.99997,1.0,1358324.703017,1358324.703017
2022-11-23 04:00:00,Gemini,USDC/USD,1.00031,1.00198,0.99775,1.00008,5920370.615627,5920844.245276251
2022-11-22 04:00:00,Gemini,USDC/USD,0.9998,1.002,0.9988,1.00031,5024065.122266,5025622.582453903
2022-11-21 04:00:00,Gemini,USDC/USD,1.0001,1.00199,0.99735,0.9998,3121490.251268,3120865.953217746
2022-11-20 04:00:00,Gemini,USDC/USD,1.00019,1.00199,0.99771,1.0001,1814295.160999,1814476.5905151
2022-11-19 04:00:00,Gemini,USDC/USD,0.9998,1.0002,0.99473,1.00019,2445584.372284,2446049.0333147338
2022-11-18 04:00:00,Gemini,USDC/USD,1.00027,1.00027,0.99816,0.9998,2174286.911869,2173852.0544866263
2022-11-17 04:00:00,Gemini,USDC/USD,1.00139,1.00139,0.99061,1.00027,10258747.190883,10261517.052624539
2022-11-16 04:00:00,Gemini,USDC/USD,0.99963,1.02999,0.99963,1.00139,8618211.642732,8630190.956915397
2022-11-15 04:00:00,Gemini,USDC/USD,0.99949,1.0,0.99785,0.99963,5077295.307032,5075416.707768398
2022-11-14 04:00:00,Gemini,USDC/USD,0.99937,0.9996,0.95003,0.99949,15972472.986475,15964327.025251897
2022-11-13 04:00:00,Gemini,USDC/USD,0.99956,0.99962,0.99796,0.99937,6669770.794985,6665568.839384159
2022-11-12 04:00:00,Gemini,USDC/USD,0.99918,1.0,0.98221,0.99956,9065231.340843,9061242.639053028
2022-11-11 04:00:00,Gemini,USDC/USD,0.99974,1.04975,0.99222,0.99918,12523690.127103,12513420.701198775
2022-11-10 04:00:00,Gemini,USDC/USD,0.99847,1.0,0.98311,0.99974,11281365.386665,11278432.231664466
2022-11-09 04:00:00,Gemini,USDC/USD,1.00001,1.00001,0.984,0.99847,8595267.477003,8582116.717763186
2022-11-08 04:00:00,Gemini,USDC/USD,0.99984,1.00271,0.998,1.00001,9002188.159757,9002278.181638598
2022-11-07 04:00:00,Gemini,USDC/USD,0.99984,1.00007,0.99836,0.99984,1916628.589808,1916321.9292336307
2022-11-06 04:00:00,Gemini,USDC/USD,1.0002,1.00198,0.99982,0.99984,747068.68398,746949.1529905632
2022-11-05 04:00:00,Gemini,USDC/USD,0.99993,1.00207,0.99981,1.0002,1046830.08479,1047039.450806958
2022-11-04 04:00:00,Gemini,USDC/USD,0.99989,1.0029,0.9997,0.99993,2918743.284448,2918538.972418089
2022-11-03 04:00:00,Gemini,USDC/USD,0.99983,1.002,0.99982,0.99989,1237070.427339,1236934.3495919926
2022-11-02 04:00:00,Gemini,USDC/USD,1.00004,1.00026,0.99947,0.99983,1562364.656157,1562099.0541654532
2022-11-01 04:00:00,Gemini,USDC/USD,1.00008,1.00027,0.99965,1.00004,2391991.389705,2392087.069360588
2022-10-31 04:00:00,Gemini,USDC/USD,0.99987,1.0004,0.99844,1.00008,2688011.016908,2688226.057789353
2022-10-30 04:00:00,Gemini,USDC/USD,0.9998,0.99988,0.99977,0.99987,1042698.945183,1042563.3943201262
2022-10-29 04:00:00,Gemini,USDC/USD,0.9999,0.9999,0.99978,0.9998,562707.664438,562595.1229051123
2022-10-28 04:00:00,Gemini,USDC/USD,0.99989,0.9999,0.99955,0.9999,1371729.805668,1371592.6326874332
2022-10-27 04:00:00,Gemini,USDC/USD,0.99992,1.00195,0.99901,0.99989,2847095.959761,2846782.779205426
2022-10-26 04:00:00,Gemini,USDC/USD,1.00029,1.00029,0.99812,0.99992,286695.87672,286672.9410498624
2022-10-25 04:00:00,Gemini,USDC/USD,0.99994,1.001,0.9996,1.00029,2072021.945888,2072622.8322523073
2022-10-24 04:00:00,Gemini,USDC/USD,0.99992,1.0001,0.9922,0.99994,6240877.97656,6240503.523881407
2022-10-23 04:00:00,Gemini,USDC/USD,0.99983,1.0,0.99946,0.99992,1432835.752505,1432721.1256447996
2022-10-22 04:00:00,Gemini,USDC/USD,1.0,1.0,0.99945,0.99983,393049.500493,392982.6820779162
2022-10-21 04:00:00,Gemini,USDC/USD,0.99978,1.0,0.99904,1.0,1625146.410911,1625146.410911
2022-10-20 04:00:00,Gemini,USDC/USD,0.9997,0.99992,0.999,0.99978,2461732.842711,2461191.261485603
2022-10-19 04:00:00,Gemini,USDC/USD,0.99976,1.0,0.99902,0.9997,1613032.53447,1612548.624709659
2022-10-18 04:00:00,Gemini,USDC/USD,0.99976,0.99977,0.9996,0.99976,1404829.843579,1404492.6844165411
2022-10-17 04:00:00,Gemini,USDC/USD,0.99961,0.99998,0.9975,0.99976,3769288.128482,3768383.499331164
2022-10-16 04:00:00,Gemini,USDC/USD,0.99992,0.99993,0.99779,0.99961,1507796.555785,1507208.515128244
2022-10-15 04:00:00,Gemini,USDC/USD,0.9999,0.99998,0.99972,0.99992,1324589.685135,1324483.717960189
2022-10-14 04:00:00,Gemini,USDC/USD,0.99971,0.9999,0.99951,0.9999,945539.71314,945445.159168686
2022-10-13 04:00:00,Gemini,USDC/USD,0.9995,1.0,0.999,0.99971,4321730.775228,4320477.473303184
2022-10-12 04:00:00,Gemini,USDC/USD,0.9997,0.9997,0.99941,0.9995,3728284.595748,3726420.453450126
2022-10-11 04:00:00,Gemini,USDC/USD,0.9997,0.9997,0.9992,0.9997,1632069.937155,1631580.3161738536
2022-10-10 04:00:00,Gemini,USDC/USD,0.99969,0.99999,0.999,0.9997,2559447.952516,2558680.1181302452
2022-10-09 04:00:00,Gemini,USDC/USD,0.99994,0.99997,0.9994,0.99969,606405.988746,606218.0028894887
2022-10-08 04:00:00,Gemini,USDC/USD,0.9999,0.99998,0.99968,0.99994,1238423.862378,1238349.5569462574
2022-10-07 04:00:00,Gemini,USDC/USD,0.99968,0.9999,0.99707,0.9999,13022312.917574,13021010.686282242
2022-10-06 04:00:00,Gemini,USDC/USD,0.99966,0.99969,0.99904,0.99968,2308770.506935,2308031.7003727807
2022-10-05 04:00:00,Gemini,USDC/USD,0.99968,0.99969,0.99916,0.99966,1828981.08385,1828359.230281491
2022-10-04 04:00:00,Gemini,USDC/USD,0.99969,0.99969,0.99517,0.99968,2870053.834886,2869135.4176588366
2022-10-03 04:00:00,Gemini,USDC/USD,0.99969,0.9997,0.9977,0.99969,2072229.360287,2071586.9691853109
2022-10-02 04:00:00,Gemini,USDC/USD,0.99982,0.99998,0.99949,0.99969,524586.674964,524424.0530947611
2022-10-01 04:00:00,Gemini,USDC/USD,0.99982,0.99998,0.9994,0.99982,907542.49158,907379.1339315156
2022-09-30 04:00:00,Gemini,USDC/USD,0.99979,1.0,0.99203,0.99982,2360446.386265,2360021.5059154723
2022-09-29 04:00:00,Gemini,USDC/USD,0.99977,0.9998,0.99634,0.99979,1711151.324305,1710791.9825268958
2022-09-28 04:00:00,Gemini,USDC/USD,0.99982,1.004,0.99461,0.99977,2979116.601589,2978431.4047706346
2022-09-27 04:00:00,Gemini,USDC/USD,0.9998,1.0002,0.99771,0.99982,2076682.392917,2076308.590086275
2022-09-26 04:00:00,Gemini,USDC/USD,0.9994,1.007,0.997,0.9998,2651410.017693,2650879.735689461
2022-09-25 04:00:00,Gemini,USDC/USD,0.99982,0.99991,0.99917,0.9994,1161004.106051,1160307.5035873693
2022-09-24 04:00:00,Gemini,USDC/USD,0.99983,0.99991,0.999,0.99982,1011044.044374,1010862.0564460128
2022-09-23 04:00:00,Gemini,USDC/USD,0.99982,1.00089,0.99948,0.99983,1211805.178412,1211599.1715316698
2022-09-22 04:00:00,Gemini,USDC/USD,0.99971,1.004,0.99924,0.99982,4355775.136455,4354991.096930439
2022-09-21 04:00:00,Gemini,USDC/USD,0.99985,1.001,0.99848,0.99971,2105894.460723,2105283.7513293903
2022-09-20 04:00:00,Gemini,USDC/USD,0.99964,1.0023,0.99412,0.99985,3191635.416536,3191156.67122352
2022-09-19 04:00:00,Gemini,USDC/USD,0.99982,1.00049,0.99,0.99964,4160041.536788,4158543.921834756
2022-09-18 04:00:00,Gemini,USDC/USD,0.99999,1.0,0.99666,0.99982,1158620.052501,1158411.50089155
2022-09-17 04:00:00,Gemini,USDC/USD,0.99989,1.0,0.99959,0.99999,375133.233131,375129.48179866874
2022-09-16 04:00:00,Gemini,USDC/USD,1.0,1.00151,0.99903,0.99989,1541705.709914,1541536.1222859095
2022-09-15 04:00:00,Gemini,USDC/USD,1.00035,1.00151,0.99953,1.0,1594132.013575,1594132.013575
2022-09-14 04:00:00,Gemini,USDC/USD,0.99988,1.00338,0.999,1.00035,1189330.002944,1189746.2684450306
2022-09-13 04:00:00,Gemini,USDC/USD,0.99969,1.00338,0.9994,0.99988,3668317.099288,3667876.901236085
2022-09-12 04:00:00,Gemini,USDC/USD,0.99988,1.0015,0.99662,0.99969,4505061.863426,4503665.294248338
2022-09-11 04:00:00,Gemini,USDC/USD,0.99984,1.001,0.9997,0.99988,1471191.912446,1471015.3694165065
2022-09-10 04:00:00,Gemini,USDC/USD,1.0,1.0006,0.9996,0.99984,956130.064088,955977.0832777459
2022-09-09 04:00:00,Gemini,USDC/USD,0.99999,1.00248,0.99945,1.0,2778445.628868,2778445.628868
2022-09-08 04:00:00,Gemini,USDC/USD,0.9998,1.00338,0.9994,0.99999,5283416.361615,5283363.527451385
2022-09-07 04:00:00,Gemini,USDC/USD,0.99979,1.00059,0.997,0.9998,4471858.309275,4470963.937613145
2022-09-06 04:00:00,Gemini,USDC/USD,0.99967,1.0075,0.99901,0.99979,3627017.775903,3626256.1021700604
2022-09-05 04:00:00,Gemini,USDC/USD,0.99986,0.99995,0.99901,0.99967,1542536.141065,1542027.1041384486
2022-09-04 04:00:00,Gemini,USDC/USD,0.99998,0.99998,0.99901,0.99986,1265742.848519,1265565.6445202073
2022-09-03 04:00:00,Gemini,USDC/USD,1.00028,1.0003,0.99984,0.99998,449505.74315,449496.75303513696
2022-09-02 04:00:00,Gemini,USDC/USD,0.9998,1.00706,0.9997,1.00028,2136273.878726,2136872.0354120433
2022-09-01 04:00:00,Gemini,USDC/USD,1.00003,1.00299,0.99944,0.9998,2852443.707205,2851873.2184635587
2022-08-31 04:00:00,Gemini,USDC/USD,1.00003,1.00005,0.9997,1.00003,918217.512947,918245.0594723884
2022-08-30 04:00:00,Gemini,USDC/USD,0.99972,1.00004,0.99935,1.00003,1659063.078305,1659112.850197349
2022-08-29 04:00:00,Gemini,USDC/USD,0.9997,1.00004,0.99902,0.99972,3490031.545497,3489054.3366642613
2022-08-28 04:00:00,Gemini,USDC/USD,0.99977,0.9998,0.99901,0.9997,1017338.597439,1017033.3958597684
2022-08-27 04:00:00,Gemini,USDC/USD,1.0,1.00005,0.99973,0.99977,688985.520101,688827.0534313768
2022-08-26 04:00:00,Gemini,USDC/USD,0.9997,1.0,0.9996,1.0,992752.621814,992752.621814
2022-08-25 04:00:00,Gemini,USDC/USD,0.99969,0.9997,0.99901,0.9997,2105339.05873,2104707.4570123814
2022-08-24 04:00:00,Gemini,USDC/USD,0.9997,0.9997,0.9992,0.99969,736818.725715,736590.3119100282
2022-08-23 04:00:00,Gemini,USDC/USD,0.99999,0.99999,0.999,0.9997,1699266.466443,1698756.6865030671
2022-08-22 04:00:00,Gemini,USDC/USD,0.99992,1.0,0.99221,0.99999,3422764.019366,3422729.7917258064
2022-08-21 04:00:00,Gemini,USDC/USD,0.9997,0.99996,0.9994,0.99992,655016.162869,654963.7615759704
2022-08-20 04:00:00,Gemini,USDC/USD,0.99969,0.99999,0.9995,0.9997,852880.881225,852625.0169606325
2022-08-19 04:00:00,Gemini,USDC/USD,0.99979,1.003,0.99909,0.99969,8050855.125574,8048359.360485072
2022-08-18 04:00:00,Gemini,USDC/USD,0.99981,1.00004,0.99715,0.99979,2466289.475826,2465771.5550360763
