Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_USDC,Volume_USD
2022-12-27 00:00:00,Gemini,USDC/USD,0.99941,0.99942,0.9991,0.99941,2595.280915,2593.74969926015
2022-12-26 23:00:00,Gemini,USDC/USD,0.99917,0.99942,0.99902,0.99941,53377.440738,53345.94804796458
2022-12-26 22:00:00,Gemini,USDC/USD,0.99944,0.99944,0.99911,0.99917,33740.750738,33712.74591488746
2022-12-26 21:00:00,Gemini,USDC/USD,0.99944,0.99944,0.99915,0.99944,6556.48707,6552.8154372408
2022-12-26 20:00:00,Gemini,USDC/USD,0.99962,0.99963,0.99906,0.99944,87840.708516,87791.51771923104
2022-12-26 19:00:00,Gemini,USDC/USD,0.9998,0.99988,0.99902,0.99962,260846.859122,260747.73731553362
2022-12-26 18:00:00,Gemini,USDC/USD,0.99981,0.99992,0.99941,0.9998,94243.557447,94224.7087355106
2022-12-26 17:00:00,Gemini,USDC/USD,0.9997,0.99984,0.99917,0.99981,47648.989592,47639.93628397752
2022-12-26 16:00:00,Gemini,USDC/USD,0.9998,0.99984,0.99946,0.9997,62063.954718,62045.335531584606
2022-12-26 15:00:00,Gemini,USDC/USD,0.99949,0.99988,0.99949,0.9998,254979.934782,254928.9387950436
2022-12-26 14:00:00,Gemini,USDC/USD,0.99911,0.9995,0.99911,0.99949,30756.057896,30740.372306473037
2022-12-26 13:00:00,Gemini,USDC/USD,0.99932,0.99944,0.99616,0.99911,69236.922478,69175.30161699458
2022-12-26 12:00:00,Gemini,USDC/USD,0.99942,0.99988,0.99618,0.99932,49362.547913,49328.98138041916
2022-12-26 11:00:00,Gemini,USDC/USD,0.99932,0.9995,0.99615,0.99942,115480.010893,115413.03248668206
2022-12-26 10:00:00,Gemini,USDC/USD,0.99968,0.99968,0.99736,0.99932,10356.944132,10349.90140999024
2022-12-26 09:00:00,Gemini,USDC/USD,0.99942,0.99968,0.99816,0.99968,12186.260114,12182.360510763521
2022-12-26 08:00:00,Gemini,USDC/USD,0.99943,0.99943,0.99883,0.99942,2103.167509,2101.94767184478
2022-12-26 07:00:00,Gemini,USDC/USD,0.99932,0.99943,0.99875,0.99943,6362.654724,6359.02801080732
2022-12-26 06:00:00,Gemini,USDC/USD,0.9995,0.9995,0.99869,0.99932,4050.518643,4047.7642903227597
2022-12-26 05:00:00,Gemini,USDC/USD,0.99914,0.9995,0.999,0.9995,36569.908882,36551.623927559005
2022-12-26 04:00:00,Gemini,USDC/USD,0.99968,0.99968,0.99856,0.99914,6386.451001,6380.958653139141
2022-12-26 03:00:00,Gemini,USDC/USD,0.99951,0.99968,0.9995,0.99968,2135.861131,2135.1776554380804
2022-12-26 02:00:00,Gemini,USDC/USD,0.99942,0.99951,0.9984,0.99951,45845.589891,45823.12555195342
2022-12-26 01:00:00,Gemini,USDC/USD,0.9996,0.9996,0.99706,0.99942,74927.431019,74883.97310900898
2022-12-26 00:00:00,Gemini,USDC/USD,0.99901,0.9996,0.99801,0.9996,10245.290409,10241.1922928364
2022-12-25 23:00:00,Gemini,USDC/USD,0.99914,0.99914,0.99901,0.99901,439.3179,438.882975279
2022-12-25 22:00:00,Gemini,USDC/USD,0.99962,0.99962,0.99914,0.99914,629.793857,629.25223428298
2022-12-25 21:00:00,Gemini,USDC/USD,0.99932,0.99962,0.99901,0.99962,12535.475498,12530.71201731076
2022-12-25 20:00:00,Gemini,USDC/USD,0.99864,0.99932,0.99615,0.99932,154352.539074,154247.57934742968
2022-12-25 19:00:00,Gemini,USDC/USD,0.99966,0.99966,0.99864,0.99864,8564.957154,8553.30881227056
2022-12-25 18:00:00,Gemini,USDC/USD,0.99956,0.99968,0.99956,0.99966,2207.839031,2207.08836572946
2022-12-25 17:00:00,Gemini,USDC/USD,0.99969,0.99969,0.99956,0.99956,302.0,301.86712
2022-12-25 16:00:00,Gemini,USDC/USD,0.99962,0.99969,0.99962,0.99969,993.746177,993.4381156851299
2022-12-25 15:00:00,Gemini,USDC/USD,0.99822,0.99962,0.99804,0.99962,6880.006987,6877.39258434494
2022-12-25 14:00:00,Gemini,USDC/USD,0.99975,0.99975,0.99822,0.99822,10273.45,10255.163259
2022-12-25 13:00:00,Gemini,USDC/USD,0.99905,0.99975,0.99905,0.99975,6217.885416,6216.330944646
2022-12-25 12:00:00,Gemini,USDC/USD,0.99905,0.99905,0.99905,0.99905,0.0,0.0
2022-12-25 11:00:00,Gemini,USDC/USD,0.99905,0.99905,0.99905,0.99905,0.0,0.0
2022-12-25 10:00:00,Gemini,USDC/USD,0.99956,0.99959,0.99905,0.99905,21983.720392,21962.8358576276
2022-12-25 09:00:00,Gemini,USDC/USD,0.99957,0.99957,0.9995,0.99956,1477.767019,1477.11680151164
2022-12-25 08:00:00,Gemini,USDC/USD,0.99957,0.99957,0.99957,0.99957,0.0,0.0
2022-12-25 07:00:00,Gemini,USDC/USD,0.99958,0.99962,0.99957,0.99957,49.771144,49.749742408079996
2022-12-25 06:00:00,Gemini,USDC/USD,0.99924,0.99958,0.99924,0.99958,9207.00636,9203.139417328799
2022-12-25 05:00:00,Gemini,USDC/USD,0.99938,0.99938,0.99924,0.99924,9.879079,9.871570899960002
2022-12-25 04:00:00,Gemini,USDC/USD,0.99906,0.99951,0.99906,0.99938,2932.465572,2930.64744334536
2022-12-25 03:00:00,Gemini,USDC/USD,0.99953,0.99953,0.99906,0.99906,980.0,979.0788
2022-12-25 02:00:00,Gemini,USDC/USD,0.99944,0.99956,0.99905,0.99953,13853.571852,13847.06067322956
2022-12-25 01:00:00,Gemini,USDC/USD,0.99923,0.99944,0.99923,0.99944,250.070046,249.93000677423998
2022-12-25 00:00:00,Gemini,USDC/USD,0.99952,0.99952,0.99923,0.99923,62692.210689,62643.93768676947
2022-12-24 23:00:00,Gemini,USDC/USD,0.99952,0.99952,0.99939,0.99952,4683.110466,4680.86257297632
2022-12-24 22:00:00,Gemini,USDC/USD,0.99938,0.99952,0.99938,0.99952,505.182128,504.93964057855993
2022-12-24 21:00:00,Gemini,USDC/USD,0.99938,0.99952,0.99938,0.99938,22386.497512,22372.617883542564
2022-12-24 20:00:00,Gemini,USDC/USD,0.99942,0.99944,0.99912,0.99938,91252.779501,91196.20277770938
2022-12-24 19:00:00,Gemini,USDC/USD,0.99962,0.99972,0.99934,0.99942,33744.972264,33725.40018008689
2022-12-24 18:00:00,Gemini,USDC/USD,0.99932,0.99976,0.99847,0.99962,26390.300601,26380.27228677162
2022-12-24 17:00:00,Gemini,USDC/USD,0.99932,0.9997,0.99804,0.99932,26044.975446,26027.26486269672
